"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Personalized Recommendation Agents with Self-Consistency","https://scispace.com/paper/personalized-recommendation-agents-with-self-consistency-04wfaxs7fpf8","2025","Book","","Zijing Wu
Leheng Sheng
Yuanlin Xia
Yi Zhang
Yuxin Chen","10.1145/3701716.3719229","https://dl.acm.org/doi/pdf/10.1145/3701716.3719229","… , develops an agent-voting system inspired by the idea that self-consistency across multiple … LLM-based agents to get a set of top-5 items. In the voting phase, we apply two aggregation …",""
"Reasoning aware self-consistency: Leveraging reasoning paths for efficient llm sampling","https://scispace.com/paper/reasoning-aware-self-consistency-leveraging-reasoning-paths-empf6xz09s10","","Journal Article","","Guangya Wan
Yuqi Wu
Jie Chen
Sheng Li","10.18653/v1/2025.naacl-long.184","https://arxiv.org/pdf/2408.17017","… Figure 1: Comparison between Self Consistency and Reasoning-Aware Self Consistency (… Self Consistency approach, generating multiple reasoning paths and using majority voting for …",""
"Confidence improves self-consistency in llms","https://scispace.com/paper/confidence-improves-self-consistency-in-llms-h6ifixafapmv","2025","Journal Article","arXiv.org","Amir Taubenfeld
Tom Sheffer
Eran O. Ofek
Amir Feder
Ariel Goldstein
Zorik Gekhman
Gal Yona","10.48550/arxiv.2502.06233","https://arxiv.org/pdf/2502.06233?","… distinct, which would otherwise degenerate self-consistency’s majority voting. Out of the remaining … in the LLM reasoningchain which reduce their confidence that the LLM has reached a …",""
"Decoding Human Preferences in Alignment: An Improved Approach to Inverse Constitutional AI","https://scispace.com/paper/6Ywb0QoB4W0J","","","","CL Henneking
C Beger","","https://arxiv.org/pdf/2501.17112","… First, we modify the principle generation prompt to nudge the LLM to generate a set of more generalizable principles. Secondly, during principle sub-sampling, our approach selects the …",""
"Dynamic voting for efficient reasoning in large language models","https://scispace.com/paper/dynamic-voting-for-efficient-reasoning-in-large-language-b40g0nqotz","","Journal Article","","Mingfeng Xue
Dayiheng Liu
Wenqiang Lei
Xingzhang Ren
Baosong Yang
Jun Xie
Yidan Zhang
Dezhong Peng
Jiancheng Lv","10.18653/v1/2023.findings-emnlp.203","https://aclanthology.org/2023.findings-emnlp.203.pdf","… Notably, one of our Dynamic Voting strategies outperforms self-consistency using only 24.7… voting, using selfconsistency on GPT-3.5 across five distinct datasets as an example. When …",","
"Improving diversity of demographic representation in large language models via collective-critiques and self-voting","https://scispace.com/paper/improving-diversity-of-demographic-representation-in-large-5cyravs5jo","2023","Journal Article","arXiv.org","Preethi Lahoti
Nicholas Blumm
Xiao Ma
Raghavendra Kotikalapudi
Sahitya Potluri
Qijun Tan
Hansa Srinivasan
Ben Packer
Ahmad Beirami
Alexander Beutel
Jilin Chen","10.48550/arxiv.2310.16523","https://arxiv.org/pdf/2310.16523","… -voting step in our proposed CCSV method is conceptually similar to the self-consistency … To turn the LLM into a conversational agent, we instantiate the LLM with the preamble “You are …","A crucial challenge for generative large language models (LLMs) is diversity: when a user's prompt is under-specified, models may follow implicit assumptions while generating a response, which may result in homogenization of the responses, as well as certain demographic groups being under-represented or even erased from the generated responses. In this paper, we formalize diversity of representation in generative LLMs. We present evaluation datasets and propose metrics to measure diversity in generated responses along people and culture axes. We find that LLMs understand the notion of diversity, and that they can reason and critique their own responses for that goal. This finding motivated a new prompting technique called collective-critique and self-voting (CCSV) to self-improve people diversity of LLMs by tapping into its diversity reasoning capabilities, without relying on handcrafted examples or prompt tuning. Extensive empirical experiments with both human and automated evaluations show that our proposed approach is effective at improving people and culture diversity, and outperforms all baseline methods by a large margin. "
"Stable LLM Ensemble: Interaction between Example Representativeness and Diversity","https://scispace.com/paper/L_eCy69oQtoJ","","","","J Niimi","","https://arxiv.org/pdf/2510.13143?","… design of LLM-based classification systems. First, our results confirm that self-consistency is a … findings on the value of self-consistency in LLM inference [31]. Second, the main benefit of …",""
"Machine Advisors: Integrating Large Language Models Into Democratic Assemblies","https://scispace.com/paper/machine-advisors-integrating-large-language-models-into-441j2np4bo","","Journal Article","Social Science Research Network","Petr Špecián","10.2139/ssrn.4682958","https://philpapers.org/archive/PECMAI.pdf","… as deliberation and aggregation by voting, provide safeguards … Implementation of adversarial proceedings in which LLM … Overall, promising interventions that would mitigate the LLM …","Large language models (LLMs) represent the currently most relevant incarnation of artificial intelligence with respect to the future fate of democratic governance. Considering their potential, this paper seeks to answer a pressing question: Could LLMs outperform humans as expert advisors to democratic assemblies? While bearing promise of enhanced expertise availability and accessibility, they also present challenges of hallucinations, misalignment, or value imposition. Weighing LLMs’ benefits and drawbacks compared to their human counterparts, I argue for their careful integration to augment democracy’s ability to address complex policy issues. The paper posits that time-tested democratic procedures like deliberation and voting provide safeguards effective against both human and machine advisor imperfections. Additional protective layers, such as boosting representatives’ competencies in query formulation or implementation of adversarial proceedings (expert debates and dissenting opinions), could further mitigate the risks that LLMs present in advisory role. While my exploration remains conceptual, it sets the stage for an empirical research agenda and offers a roadmap for the co-evolution of AI and democratic institutions. The stakes are high: success or failure in integration of the transformative AI technologies could spell the difference between the current democratic backsliding and a new wave of democratic efflorescence driven by an improved ability to tackle the difficult challenges of our time. "
"Improving self-consistency for open-domain question answering via automatic prompt engineering and ensemble learning","https://scispace.com/paper/improving-self-consistency-for-open-domain-question-dlhr1kr4joz1","2024","Journal Article","Lecture Notes in Computer Science","Jie Liu
Xue Han
Chao Deng
Junlan Feng","10.1007/978-981-97-9434-8_28","","… Then, we consider the same frozen LLM driven by the candidate prompt \(p_{\text {can}}^{m}\) as a base learner in ensemble learning. Next, we can use the textual gradient g and the …",""
"An electoral approach to diversify llm-based multi-agent collective decision-making","https://scispace.com/paper/an-electoral-approach-to-diversify-llm-based-multi-agent-us9swd7jtib2","2024","Journal Article","","Xianbo Zhao
Sheng Wang
Wei Ma","10.48550/arxiv.2410.15168","https://arxiv.org/pdf/2410.15168","… (also known as preferential or ranked voting), another … ordinal voting methods available, to the best of our knowledge, all existing LLM-agent collaboration frameworks that employ voting …","Modern large language models (LLMs) have exhibited cooperative synergy on complex task-solving, and collective decision-making (CDM) is a pivotal component in LLM-based multi-agent collaboration frameworks. Our survey on 52 recent such systems uncovers a severe lack of diversity, with a heavy reliance on dictatorial and plurality voting for CDM. Through the lens of social choice theory, we scrutinize widely-adopted CDM methods and identify their limitations. To enrich current landscape of LLM-based CDM, we present GEDI, an electoral CDM module that incorporates various ordinal preferential voting mechanisms. Our empirical case study across three benchmarks shows that the integration of certain CDM methods can markedly improve the reasoning capabilities and robustness of some leading LLMs, all without requiring intricate system designs. Additionally, we find that some CDM mechanisms generate positive synergies even with as few as three agents. The voting-based methods also demonstrate robustness against single points of failure, as well as diversity in terms of hit-rate@k and subject-wise impacts. "
