Paper Title,Relevance,Paper Link,Publication Year,Publication Type,Publication Title,Author Names,DOI,PDF Link,Abstract
AgentsBench: A Multi-Agent LLM Simulation Framework for Legal Judgment Prediction,"- **Relevance Score:** 82/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses a judicial bench of LLM agents to debate, aggregate opinions, and achieve higher accuracy than single‑shot baselines, closely matching all criteria.",https://scispace.com/paper/agentsbench-a-multi-agent-llm-simulation-framework-for-legal-b4846v209h2p,2025,Journal Article,Systems,"Cong Jiang
Xiaolei Yang",10.3390/systems13080641,"","The justice system has increasingly applied AI techniques for legal judgment to enhance efficiency. However, most AI techniques focus on decision-making outcomes, failing to capture the deliberative nature of the real-world judicial process. To address these challenges, we propose a large language model-based multi-agent framework named AgentsBench. Our approach leverages multiple LLM-driven agents that simulate the discussion process of the Chinese judicial bench, which is often composed of professional and lay judge agents. We conducted experiments on a legal judgment prediction task, and the results show that our framework outperforms existing LLM-based methods in terms of performance and decision quality. By incorporating these elements, our framework reflects real-world judicial processes more closely, enhancing accuracy, fairness, and societal consideration. While the simulation is based on China’s lay judge system, our framework is generalizable and can be adapted to various legal scenarios and other legal systems involving collective decision-making processes. "
"Simulating The U.S. Senate: An LLM-Driven Agent Approach to Modeling
  Legislative Behavior and Bipartisanship","- **Relevance Score:** 82/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses Senate committee of LLM agents to simulate debates, achieving realistic bipartisan outcomes; includes structured deliberation but lacks detailed voting protocols and baseline performance comparison.",https://scispace.com/paper/simulating-the-u-s-senate-an-llm-driven-agent-approach-to-3uluzw4htf,2024,Preprint,"","Zachary R. Baker
Zarif L. Azher",10.48550/arxiv.2406.18702,https://scispace.compdf/simulating-the-u-s-senate-an-llm-driven-agent-approach-to-3uluzw4htf.pdf,"This study introduces a novel approach to simulating legislative processes using LLM-driven virtual agents, focusing on the U.S. Senate Intelligence Committee. We developed agents representing individual senators and placed them in simulated committee discussions. The agents demonstrated the ability to engage in realistic debate, provide thoughtful reflections, and find bipartisan solutions under certain conditions. Notably, the simulation also showed promise in modeling shifts towards bipartisanship in response to external perturbations. Our results indicate that this LLM-driven approach could become a valuable tool for understanding and potentially improving legislative processes, supporting a broader pattern of findings highlighting how LLM-based agents can usefully model real-world phenomena. Future works will focus on enhancing agent complexity, expanding the simulation scope, and exploring applications in policy testing and negotiation. "
CONSENSAGENT: Towards Efficient and Effective Consensus in Multi-Agent LLM Interactions Through Sycophancy Mitigation,"- **Relevance Score:** 81/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses a structured multi‑agent council to run debates, dynamically refines prompts to curb sycophancy, achieves higher accuracy than single‑shot baselines, but aggregation relies on prompt optimization rather than explicit voting.",https://scispace.com/paper/consensagent-towards-efficient-and-effective-consensus-in-annxysch8ygl,2025,Proceedings Article,"","Priya Pitre
Naren Ramakrishnan
Xuan Wang",10.18653/v1/2025.findings-acl.1141,"","Multi-agent large language model (LLM) systems have shown remarkable performance in tasks such as reasoning, planning, and decision-making. However, their applicability is limited by challenges such as high computational costs and robustness issues. In this work, we identify and systematically evaluate a critical yet overlooked challenge: sycophancy, where agents reinforce each other’s responses instead of critically engaging with the debate. This behavior inflates computational costs by requiring additional debate rounds to reach consensus, limiting the efficiency of multi-agent LLM systems. Through experiments on six benchmark reasoning datasets across three models, we analyze the impact of sycophancy and its role in reducing the reliability of multi-agent debate. Motivated by our findings, we propose C ONSENS A GENT , a novel framework that dynamically refines prompts based on agent interactions to mitigate sycophancy. C ONSEN - S A GENT improves accuracy of the debate while maintaining efficiency. It significantly outperforms both single-agent and multi-agent base-lines, achieving state-of-the-art results across all benchmark datasets. Our findings highlight the crucial role of structured prompt optimization in multi-agent setups and establish a foundation for more reliable, efficient multi-agent LLM systems in real-world applications. 1"
"An Electoral Approach to Diversify LLM-based Multi-Agent Collective
  Decision-Making","- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses electoral CDM module with diverse voting methods to form a council of LLM agents, showing empirical gains over single‑shot baselines; lacks explicit debate or argumentative exchange.",https://scispace.com/paper/an-electoral-approach-to-diversify-llm-based-multi-agent-us9swd7jtib2,2024,Journal Article,"","Xianbo Zhao
Sheng Wang
Wei Ma",10.48550/arxiv.2410.15168,https://scispace.compdf/an-electoral-approach-to-diversify-llm-based-multi-agent-us9swd7jtib2.pdf,"Modern large language models (LLMs) have exhibited cooperative synergy on complex task-solving, and collective decision-making (CDM) is a pivotal component in LLM-based multi-agent collaboration frameworks. Our survey on 52 recent such systems uncovers a severe lack of diversity, with a heavy reliance on dictatorial and plurality voting for CDM. Through the lens of social choice theory, we scrutinize widely-adopted CDM methods and identify their limitations. To enrich current landscape of LLM-based CDM, we present GEDI, an electoral CDM module that incorporates various ordinal preferential voting mechanisms. Our empirical case study across three benchmarks shows that the integration of certain CDM methods can markedly improve the reasoning capabilities and robustness of some leading LLMs, all without requiring intricate system designs. Additionally, we find that some CDM mechanisms generate positive synergies even with as few as three agents. The voting-based methods also demonstrate robustness against single points of failure, as well as diversity in terms of hit-rate@k and subject-wise impacts. "
Consensagent: Towards efficient and effective consensus in multi-agent llm interactions through sycophancy mitigation,"- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses a structured multi‑agent council with dynamic prompt refinement to enable debate, mitigates sycophancy, applies aggregation to reach consensus, and empirically outperforms single‑shot baselines.",https://scispace.com/paper/consensagent-towards-efficient-and-effective-consensus-in-annxysch8ygl,2025,Proceedings Article,"","Priya Pitre
Naren Ramakrishnan
Xuan Wang",10.18653/v1/2025.findings-acl.1141,https://aclanthology.org/2025.findings-acl.1141.pdf,"Multi-agent large language model (LLM) systems have shown remarkable performance in tasks such as reasoning, planning, and decision-making. However, their applicability is limited by challenges such as high computational costs and robustness issues. In this work, we identify and systematically evaluate a critical yet overlooked challenge: sycophancy, where agents reinforce each other’s responses instead of critically engaging with the debate. This behavior inflates computational costs by requiring additional debate rounds to reach consensus, limiting the efficiency of multi-agent LLM systems. Through experiments on six benchmark reasoning datasets across three models, we analyze the impact of sycophancy and its role in reducing the reliability of multi-agent debate. Motivated by our findings, we propose C ONSENS A GENT , a novel framework that dynamically refines prompts based on agent interactions to mitigate sycophancy. C ONSEN - S A GENT improves accuracy of the debate while maintaining efficiency. It significantly outperforms both single-agent and multi-agent base-lines, achieving state-of-the-art results across all benchmark datasets. Our findings highlight the crucial role of structured prompt optimization in multi-agent setups and establish a foundation for more reliable, efficient multi-agent LLM systems in real-world applications. 1"
BlockAgents: Towards Byzantine-Robust LLM-Based Multi-Agent Coordination Via Blockchain,"- **Relevance Score:** 78/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses blockchain‑backed PoT and stake‑based miner roles to form a council of LLM agents; employs multi‑round debate‑style voting for decisions; implements concrete voting and consensus protocols; reports reduced attack impact but limited direct comparison to single‑shot baselines.",https://scispace.com/paper/blockagents-towards-byzantine-robust-llm-based-multi-agent-104yx9ld6bw7,"","","","Bei Chen
Gaolei Li
Xi Lin
Zheng Wang
Jianhua Li",10.1145/3674399.3674445,"","Recent advancements in multi-agent systems based on large language models (LLM) have shown potential for problem-solving and planning tasks. However, most existing LLM-based multi-agent approaches show vulnerability against byzantine attacks. First, agents instantiated on diverse LLMs may inherit biases present in the LLMs and thus exhibit deception behavior. Second, as the number of agents grows, collusive behavior among multiple malicious agents poses a potential threat. In this paper, we propose BlockAgents, an innovative framework that integrates blockchain into LLM-based cooperative multi-agent systems to mitigate byzantine behaviors. BlockAgents completes multi-agent collaboration through a unified workflow including role assignment, proposal statement, evaluation, and decision-making. To help the agent who contributes the most to the group thinking process acquire accounting rights, we propose a proof-of-thought (PoT) consensus mechanism combined with stake-based miner designation and multi-round debate-style voting. To effectively distinguish valid and abnormal answers, we design a multi-metric prompt-based evaluation method for each evaluator to score each proposal by carefully and comprehensively considering multiple dimensions. Experiments on three datasets show that BlockAgents reduces the interference of poisoning attacks on accuracy to less than 3% and reduces the success rate of backdoor attacks to less than 5%, demonstrating the resistance ability against Byzantine attacks."
Debate or Vote: Which Yields Better Decisions in Multi-Agent Large Language Models?,"- **Relevance Score:** 77/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Demonstrates voting‑driven gains and debate analysis in multi‑agent LLMs, outperforming single‑shot; lacks an explicit council/committee organization.",https://scispace.com/paper/debate-or-vote-which-yields-better-decisions-in-multi-agent-b61g41ah58uw,2025,Journal Article,arXiv.org,"Hyeong Kyu Choi
Xiaojin Zhu
Yixuan Li",10.48550/arxiv.2508.17536,https://arxiv.org/pdf/2508.17536?,"Multi-Agent Debate~(MAD) has emerged as a promising paradigm for improving the performance of large language models through collaborative reasoning. Despite recent advances, the key factors driving MAD's effectiveness remain unclear. In this work, we disentangle MAD into two key components--Majority Voting and inter-agent Debate--and assess their respective contributions. Through extensive experiments across seven NLP benchmarks, we find that Majority Voting alone accounts for most of the performance gains typically attributed to MAD. To explain this, we propose a theoretical framework that models debate as a stochastic process. We prove that it induces a martingale over agents'belief trajectories, implying that debate alone does not improve expected correctness. Guided by these insights, we demonstrate that targeted interventions, by biasing the belief update toward correction, can meaningfully enhance debate effectiveness. Overall, our findings suggest that while MAD has potential, simple ensembling methods remain strong and more reliable alternatives in many practical settings. Code is released in https://github.com/deeplearning-wisc/debate-or-vote."
LLM-Consensus: Multi-Agent Debate for Visual Misinformation Detection,"- **Relevance Score:** 76/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses multi‑agent debate to detect visual misinformation, achieving higher accuracy than single‑shot baselines; includes structured argumentative exchange; aggregation via final consensus rather than explicit voting.",https://scispace.com/paper/LMzO-MHQnkkJ,"","","","K Lakara
G Channing
J Sock
C Rupprecht","",https://arxiv.org/pdf/2410.20140?,""
Learning to deliberate: Meta-policy collaboration for agentic llms with multi-agent reinforcement learning,"- **Relevance Score:** 75/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses a council of LLM agents that debate and vote via meta‑policy RL, showing higher accuracy than single‑shot baselines.",https://scispace.com/paper/spuQAGXS2sUJ,"","","","W Yang
J Thomason","",https://arxiv.org/pdf/2509.03817,""
An electoral approach to diversify llm-based multi-agent collective decision-making,"- **Relevance Score:** 75/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses an electoral CDM module to organize LLM agents as a voting council, showing empirical gains over single‑agent baselines; lacks explicit debate or argumentative exchange.",https://scispace.com/paper/an-electoral-approach-to-diversify-llm-based-multi-agent-us9swd7jtib2,2024,Journal Article,"","Xianbo Zhao
Sheng Wang
Wei Ma",10.48550/arxiv.2410.15168,https://arxiv.org/pdf/2410.15168,"Modern large language models (LLMs) have exhibited cooperative synergy on complex task-solving, and collective decision-making (CDM) is a pivotal component in LLM-based multi-agent collaboration frameworks. Our survey on 52 recent such systems uncovers a severe lack of diversity, with a heavy reliance on dictatorial and plurality voting for CDM. Through the lens of social choice theory, we scrutinize widely-adopted CDM methods and identify their limitations. To enrich current landscape of LLM-based CDM, we present GEDI, an electoral CDM module that incorporates various ordinal preferential voting mechanisms. Our empirical case study across three benchmarks shows that the integration of certain CDM methods can markedly improve the reasoning capabilities and robustness of some leading LLMs, all without requiring intricate system designs. Additionally, we find that some CDM mechanisms generate positive synergies even with as few as three agents. The voting-based methods also demonstrate robustness against single points of failure, as well as diversity in terms of hit-rate@k and subject-wise impacts. "
Plurals: A System for Guiding LLMs Via Simulated Social Ensembles,"- **Relevance Score:** 72/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses configurable agent ensembles for council‑style deliberation; implements debate structures; mentions consensus goals but lacks detailed voting schemes; case studies suggest quality gains over single‑shot baselines.",https://scispace.com/paper/plurals-a-system-for-guiding-llms-via-simulated-social-4vw2u556pud6,2024,Journal Article,"","Joshua Ashkinaze
Emily Fry
Narendra Edara
Eric S Gilbert
Ceren Budak",10.48550/arxiv.2409.17213,https://scispace.compdf/plurals-a-system-for-guiding-llms-via-simulated-social-4vw2u556pud6.pdf,"Recent debates raised concerns that language models may favor certain viewpoints. But what if the solution is not to aim for a 'view from nowhere' but rather to leverage different viewpoints? We introduce Plurals, a system and Python library for pluralistic AI deliberation. Plurals consists of Agents (LLMs, optionally with personas) which deliberate within customizable Structures, with Moderators overseeing deliberation. Plurals is a generator of simulated social ensembles. Plurals integrates with government datasets to create nationally representative personas, includes deliberation templates inspired by democratic deliberation theory, and allows users to customize both information-sharing structures and deliberation behavior within Structures. Six case studies demonstrate fidelity to theoretical constructs and efficacy. Three randomized experiments show simulated focus groups produced output resonant with an online sample of the relevant audiences (chosen over zero-shot generation in 75% of trials). Plurals is both a paradigm and a concrete system for pluralistic AI. The Plurals library is available at https://github.com/josh-ashkinaze/plurals and will be continually updated. "
"RoundTable: Investigating Group Decision-Making Mechanism in Multi-Agent
  Collaboration","- **Relevance Score:** 71/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses a council of LLM agents with majority voting; shows weak models boost from ~18% to 80% accuracy; lacks explicit debate or argumentative exchange.",https://scispace.com/paper/roundtable-investigating-group-decision-making-mechanism-in-4eqtuglgd860,2024,Journal Article,"","Youngmin Cho
Raphael Shu
Nilaksh Das
Tamer Alkhouli
Yi-An Lai
Jason Cai
Mahendra K. Sunkara
Yi Zhang",10.48550/arxiv.2411.07161,https://scispace.compdf/roundtable-investigating-group-decision-making-mechanism-in-4eqtuglgd860.pdf,"This study investigates the efficacy of Multi-Agent Systems in eliciting cross-agent communication and enhancing collective intelligence through group decision-making in a decentralized setting. Unlike centralized mechanisms, where a fixed hierarchy governs social choice, decentralized group decision-making allows agents to engage in joint deliberation. Our research focuses on the dynamics of communication and decision-making within various social choice methods. By applying different voting rules in various environments, we find that moderate decision flexibility yields better outcomes. Additionally, exploring the linguistic features of agent-to-agent conversations reveals indicators of effective collaboration, offering insights into communication patterns that facilitate or hinder collaboration. Finally, we propose various methods for determining the optimal stopping point in multi-agent collaborations based on linguistic cues. Our findings contribute to a deeper understanding of how decentralized decision-making and group conversation shape multi-agent collaboration, with implications for the design of more effective MAS environments. "
Groupdebate: Enhancing the efficiency of multi-agent debate using group discussion,"- **Relevance Score:** 70/100
- **Relevance Tag:** Somewhat Relevant
- **Reasoning:** Uses group‑based debate to cut tokens 51.7% and boost accuracy 25%; includes structured argumentative exchanges, limited explicit voting, and shows clear gains over single‑shot baselines.",https://scispace.com/paper/groupdebate-enhancing-the-efficiency-of-multi-agent-debate-4m87fdduee7k,2024,Journal Article,arXiv.org,"Tongxuan Liu
Xingyu Wang
Weizhe Huang
Wenjiang Xu
Yuting Zeng
Lei Jiang
Hailong Yang
Jing Li",10.48550/arxiv.2409.14051,https://arxiv.org/pdf/2409.14051,"In recent years, Large Language Models (LLMs) have demonstrated remarkable capabilities across diverse NLP tasks. Extensive research has explored how to enhance the logical reasoning abilities such as Chain-of-Thought, Chain-of-Thought with Self-Consistency, Tree-Of-Thoughts, and multi-agent debates. In the context of multi-agent debates, significant performance improvements can be achieved with an increasing number of agents and debate rounds. However, the escalation in the number of agents and debate rounds can drastically raise the tokens cost of debates, thereby limiting the scalability of the multi-agent debate technique. To better harness the advantages of multi-agent debates in logical reasoning tasks, this paper proposes a method to significantly reduce token cost in multi-agent debates. This approach involves dividing all agents into multiple debate groups, with agents engaging in debates within their respective groups and sharing interim debate results between groups. Comparative experiments across multiple datasets have demonstrated that this method can reduce the total tokens by up to 51.7% during debates and while potentially enhancing accuracy by as much as 25%. Our method significantly enhances the performance and efficiency of interactions in the multi-agent debate."
