"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Test Case Dependency Detection Using Syntactic Analysis of Code for Test Optimization Purposes","https://scispace.com/paper/OMyBOQ02KyMJ","","","","R Hanna","","https://www.diva-portal.org/smash/get/diva2:1464463/FULLTEXT01.pdf","… of test cases such that a cluster contains test cases that are likely … between semantically similar test case specifications and … been implemented to label test case codes in order to detect …",""
"Source code level word embeddings in aiding semantic test-to-code traceability","https://scispace.com/paper/source-code-level-word-embeddings-in-aiding-semantic-test-to-1o09ruzxnv","2019","Proceedings Article","","Viktor Csuvik
András Kicsi
László Vidács","10.1109/SST.2019.00016","https://publicatio.bibl.u-szeged.hu/17451/1/Csuvik-SST19-Traceability-CR.pdf","… For more information about good coding practices, please refer … In addition, their package hierarchy must be the same, thus … We found that AST-based identifier extraction is the most …","Proper recovery of test-to-code traceability links from source code could considerably aid software maintenance. Scientific research has already shown that this can be achieved to an extent with a range of techniques relying on various information sources. This includes information retrieval which considers the natural language aspects of the source code. Latent Semantic Indexing (LSI) is widely looked upon as the mainstream technique of this approach. Techniques utilizing word embedding information however also use similar data and nowadays enjoy immense popularity in several fields of study. In this work, we present our evaluation of both LSI and word embeddings in aiding class level test-to-code traceability of 4 open source software systems, the assessment relying on naming convention information."
"Source code clone detection using unsupervised similarity measures","https://scispace.com/paper/source-code-clone-detection-using-unsupervised-similarity-wzi4tblce0","2024","Journal Article","arXiv.org","Jorge Martínez Gil","10.48550/arxiv.2401.09885","https://arxiv.org/pdf/2401.09885","… Abstract Syntax Trees (ASTs) Similarity: ASTs are hierarchical … AST similarity measures compare the structural similarity … semantic similarity measures for mitigating code redundancy …","Assessing similarity in source code has gained significant attention in recent years due to its importance in software engineering tasks such as clone detection and code search and recommendation. This work presents a comparative analysis of unsupervised similarity measures for identifying source code clone detection. The goal is to overview the current state-of-the-art techniques, their strengths, and weaknesses. To do that, we compile the existing unsupervised strategies and evaluate their performance on a benchmark dataset to guide software engineers in selecting appropriate methods for their specific use cases. The source code of this study is available at https://github.com/jorge-martinez-gil/codesim "
"A systematic review of semantic clone detection techniques in software systems","https://scispace.com/paper/a-systematic-review-of-semantic-clone-detection-techniques-3j97yxu88l","2021","Journal Article","","Ajad Kumar
Rashmi Yadav
Kuldeep Kumar","10.1088/1757-899X/1022/1/012074","https://iopscience.iop.org/article/10.1088/1757-899X/1022/1/012074/pdf","… that perform a similar task but their syntactic structure may be … both syntactic and semantic clone pairs in source code. Now … to get more precise clusters that act as clone pair set. This …","Code clones are repeated program structures of significant similarities occurring in a software system. In various studies, it has been found that there is at least 20–30 percent of the code which is duplicated in a software system. These code clones induce software maintenance related difficulties that might lead to bug fixing, bug propagation, etc. that seed accretion of maintenance time, effort, and cost. To achieve better efficiency, it is required to detect all types of clones, i.e., syntactic and semantic clones that exist in a software system. Detection of semantic clones is considered to be a more difficult task in comparison to the syntactic clones because it requires semantic information of the given program rather than a similar structure. To detect semantic clones, techniques based on program dependency graphs, abstract syntax trees, machine learning, deep learning, support vector machines, etc. are very popular. This paper presents a systematic and extensive analysis of clone detection tools and techniques with a special focus laid on semantic clone detection. It also highlights the pros and cons of existing clone detection techniques along with the results viz. precision, recall, etc."
"Repo2vec: A comprehensive embedding approach for determining repository similarity","https://scispace.com/paper/repo2vec-a-comprehensive-embedding-approach-for-determining-38rqi1lc0p","2021","Posted Content","arXiv: Software Engineering","Omar Faruk Rokon
Pei Yan
Risul Islam
Michalis Faloutsos","","https://arxiv.org/pdf/2107.05112","… can we identify similar repositories and clusters among a … Next, methods are preprocessed into AST paths, and context … keeping the semantic meaning of the metadata, source code, and …","How can we identify similar repositories and clusters among a large online archive, such as GitHub? Determiningrepository similarity is an essential building block in studying the dynamics and the evolution of such software ecosystems. The key challenge is to determine the right representation for the diverse repository features in a way that: (a) it captures all aspects of the available information, and (b) it is readily usable by MLalgorithms. We propose Repo2Vec, a comprehensive embedding approach to represent a repository as a distributed vector by combining features from three types of information sources. As our key novelty, we consider three types of information: (a)metadata, (b) the structure of the repository, and (c) the source code. We also introduce a series of embedding approaches to represent and combine these information types into a single embedding. We evaluate our method with two real datasets from GitHub for a combined 1013 repositories. First, we show that our method outperforms previous methods in terms of precision (93%vs 78%), with nearly twice as many Strongly Similar repositories and 30% fewer False Positives. Second, we show how Repo2Vecprovides a solid basis for: (a) distinguishing between malware and benign repositories, and (b) identifying a meaningful hierarchical clustering. For example, we achieve 98% precision and 96%recall in distinguishing malware and benign repositories. Overall, our work is a fundamental building block for enabling many repository analysis functions such as repository categorization by target platform or intention, detecting code-reuse and clones, and identifying lineage and evolution."
"SCDetector: Software functional clone detection based on semantic tokens analysis","https://scispace.com/paper/scdetector-software-functional-clone-detection-based-on-10v8hk90xx","2020","Proceedings Article","Automated Software Engineering","Yueming Wu
Deqing Zou
Shihan Dou
Siru Yang
Wei Yang
Feng Cheng
Hong Liang
Hai Jin","10.1145/3324884.3416562","https://youngwei.com/pdf/SCDetector.pdf","… large datasets of functionally similar code. Experimental results … Deckard clusters the characteristic vectors of each AST … to measure the similarity of semantic codes, namely SCDetector…","Code clone detection is to find out code fragments with similar functionalities, which has been more and more important in software engineering. Many approaches have been proposed to detect code clones, in which token-based methods are the most scalable but cannot handle semantic clones because of the lack of consideration of program semantics. To address the issue, researchers conduct program analysis to distill the program semantics into a graph representation and detect clones by matching the graphs. However, such approaches suffer from low scalability since graph matching is typically time-consuming. In this paper, we propose SCDetector to combine the scalability of token-based methods with the accuracy of graph-based methods for software functional clone detection. Given a function source code, we first extract the control flow graph by static analysis. Instead of using traditional heavyweight graph matching, we treat the graph as a social network and apply social-network-centrality analysis to dig out the centrality of each basic block. Then we assign the centrality to each token in a basic block and sum the centrality of the same token in different basic blocks. By this, a graph is turned into certain tokens with graph details (i.e., centrality), called semantic tokens. Finally, these semantic tokens are fed into a Siamese architecture neural network to train a code clone detector. We evaluate SCDetector on two large datasets of functionally similar code. Experimental results indicate that our system is superior to four state-of-the-art methods (i.e., SourcererCC, Deckard, RtvNN, and ASTNN) and the time cost of SCDetector is 14 times less than a traditional graph-based method (i.e., CCSharp) on detecting semantic clones."
"Igor: Crash deduplication through root-cause clustering","https://scispace.com/paper/igor-crash-deduplication-through-root-cause-clustering-1mwpjc88xv","2021","Proceedings Article","Computer and Communications Security","Zhiyuan Jiang
Xiyue Jiang
Ahmad Hazimeh
Chaojing Tang
Chao Zhang
Mathias Payer","10.1145/3460120.3485364","https://dl.acm.org/doi/pdf/10.1145/3460120.3485364","… With the source code of these programs and patches of these … three CVEs share the same semantic root cause. Specifically… hierarchical test suite clustering algorithm that groups similar …","Fuzzing has emerged as the most effective bug-finding technique. The output of a fuzzer is a set of proof-of-concept (PoC) test cases for all observed ""unique'' crashes. It costs developers substantial efforts to analyze each crashing test case. This, mostly manual, process has lead to the number of reported crashes out-pacing the number of bug fixes. Automatic crash deduplication techniques, which mostly rely on coverage profiles and stack hashes, are supposed to alleviate these pressures. However, these techniques both inflate actual bug counts and falsely conflate unrelated bugs. This hinders, rather than helps, developers, and calls for more accurate techniques. The highly-stochastic nature of fuzzing means that PoCs commonly exercise many program behaviors that are orthogonal to the crash's underlying root cause. This diversity in program behaviors manifests as a diversity in crashes, contributing to bug-count inflation and conflation. Based on this insight, we develop Igor, an automated dual-phase crash deduplication technique. By minimizing each PoC's execution trace, we obtain pruned test cases that exercise the critical behavior necessary for triggering a bug. Then, we use a graph similarity comparison to cluster crashes based on the control-flow graph of the minimized execution traces, with each cluster mapping back to a single, unique root cause. We evaluate Igor against 39 bugs resulting from 254,000 PoCs, distributed over 10 programs. Our results show that Igor accurately groups these crashes into 48 uniquely identifiable clusters, while other state-of-the-art methods yield bug counts at least one order of magnitude larger."
"Modeling functional similarity in source code with graph-based siamese networks","https://scispace.com/paper/modeling-functional-similarity-in-source-code-with-graph-1mnzcjau62","2020","Posted Content","arXiv: Software Engineering","Nikita Mehrotra
Navdha Agarwal
Piyush Gupta
Saket Anand
David Lo
Rahul Purandare","","https://arxiv.org/pdf/2011.11228","… lexical and syntactic program features to identify similar (clone) pairs. … observation is the cluster formation of clone pairs. The … semantic clones by leveraging the semantic and syntactic …","Code clones are duplicate code fragments that share (nearly) similar syntax or semantics. Code clone detection plays an important role in software maintenance, code refactoring, and reuse. A substantial amount of research has been conducted in the past to detect clones. A majority of these approaches use lexical and syntactic information to detect clones. However, only a few of them target semantic clones. Recently, motivated by the success of deep learning models in other fields, including natural language processing and computer vision, researchers have attempted to adopt deep learning techniques to detect code clones. These approaches use lexical information (tokens) and(or) syntactic structures like abstract syntax trees (ASTs) to detect code clones. However, they do not make sufficient use of the available structural and semantic information hence, limiting their capabilities. 
This paper addresses the problem of semantic code clone detection using program dependency graphs and geometric neural networks, leveraging the structured syntactic and semantic information. We have developed a prototype tool HOLMES, based on our novel approach, and empirically evaluated it on popular code clone benchmarks. Our results show that HOLMES performs considerably better than the other state-of-the-art tool, TBCCD. We also evaluated HOLMES on unseen projects and performed cross dataset experiments to assess the generalizability of HOLMES. Our results affirm that HOLMES outperforms TBCCD since most of the pairs that HOLMES detected were either undetected or suboptimally reported by TBCCD."
"Predicting patch correctness based on the similarity of failing test cases","https://scispace.com/paper/predicting-patch-correctness-based-on-the-similarity-of-1ldthadc","2022","Journal Article","ACM Transactions on Software Engineering and Methodology","H Tian
Y Li
W Pian
AK Kabore
K Liu","10.1145/3511096","https://dl.acm.org/doi/pdf/10.1145/3511096","… Similarity thus becomes a key challenge: Syntactic similarity … to explore similarity measurements that can capture semantic … cluster test cases into groups of similar test cases, then we …","How do we know a generated patch is correct? This is a key challenging question that automated program repair (APR) systems struggle to address given the incompleteness of available test suites. Our intuition is that we can triage correct patches by checking whether each generated patch implements code changes (i.e., behavior) that are relevant to the bug it addresses. Such a bug is commonly specified by a failing test case. Towards predicting patch correctness in APR, we propose a novel yet simple hypothesis on how the link between the patch behavior and failing test specifications can be drawn: similar failing test cases should require similar patches . We then propose BATS , an unsupervised learning-based approach to predict patch correctness by checking patch B ehavior A gainst failing T est S pecification. BATS exploits deep representation learning models for code and patches: For a given failing test case, the yielded embedding is used to compute similarity metrics in the search for historical similar test cases to identify the associated applied patches, which are then used as a proxy for assessing the correctness of the APR-generated patches. Experimentally, we first validate our hypothesis by assessing whether ground-truth developer patches cluster together in the same way that their associated failing test cases are clustered. Then, after collecting a large dataset of 1,278 plausible patches (written by developers or generated by 32 APR tools), we use BATS to predict correct patches: BATS achieves AUC between 0.557 to 0.718 and recall between 0.562 and 0.854 in identifying correct patches. Our approach outperforms state-of-the-art techniques for identifying correct patches without the need for large labeled patch datasets—as is the case with machine learning-based approaches. While BATS is constrained by the availability of similar test cases, we show that it can still be complementary to existing approaches: When combined with a recent approach that relies on supervised learning, BATS improves the overall recall in detecting correct patches. We finally show that BATS is complementary to the state-of-the-art PATCH-SIM dynamic approach for identifying correct patches generated by APR tools. "
"Learning-based recursive aggregation of abstract syntax trees for code clone detection","https://scispace.com/paper/learning-based-recursive-aggregation-of-abstract-syntax-2t0z265k17","2019","Proceedings Article","IEEE International Conference on Software Analysis, Evolution, and Reengineering","Lutz Buch
Artur Andrzejak","10.1109/SANER.2019.8668039","https://aip.ifi.uni-heidelberg.de/fileadmin/papers/2019/Buech-Andrzejak-SANER2019.pdf","… We use both AST node type and content (identifiers and … NLP contexts and is able to capture semantics in a way that can be … supervised code clone detection on the same clusters gives …","Code clone detection remains a crucial challenge in maintaining software projects. Many classic approaches rely on handcrafted aggregation schemes, while recent work uses supervised or unsupervised learning. In this work, we study several aspects of aggregation schemes for code clone detection based on supervised learning. To this aim, we implement an AST-based Recursive Neural Network. Firstly, our ablation study shows the influence of model choices and hyperparameters. We introduce error scaling as a way to effectively and efficiently address the class imbalance problem arising in code clone detection. Secondly, we study the influence of pretrained embeddings representing nodes in ASTs. We show that simply averaging all node vectors of a given AST yields strong baseline aggregation scheme. Further, learned AST aggregation schemes greatly benefit from pretrained node embeddings. Finally, we show the importance of carefully separating training and test data by clone clusters, to reliably measure generalization of models learned with supervision."
