Paper Title,Relevance,Paper Link,Publication Year,Publication Type,Publication Title,Author Names,DOI,PDF Link,Abstract
Ensembling over Classifiers: a Bias-Variance Perspective,"- **Relevance Score:** 42/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Provides a rigorous bias‑variance decomposition for ensembles, showing variance reduction and unexpected bias reduction; lacks explicit diversity‑accuracy formulas, MoE treatment, or uncertainty quantification.",https://scispace.com/paper/http://arxiv.org/abs/2206.10566v1,2022,Preprint,"","Neha Gupta
Jamie Smith
Ben Adlam
Zelda Mariet","",http://arxiv.org/pdf/2206.10566v1,"Ensembles are a straightforward, remarkably effective method for improving
the accuracy,calibration, and robustness of models on classification tasks;
yet, the reasons that underlie their success remain an active area of research.
We build upon the extension to the bias-variance decomposition by Pfau (2013)
in order to gain crucial insights into the behavior of ensembles of
classifiers. Introducing a dual reparameterization of the bias-variance
tradeoff, we first derive generalized laws of total expectation and variance
for nonsymmetric losses typical of classification tasks. Comparing conditional
and bootstrap bias/variance estimates, we then show that conditional estimates
necessarily incur an irreducible error. Next, we show that ensembling in dual
space reduces the variance and leaves the bias unchanged, whereas standard
ensembling can arbitrarily affect the bias. Empirically, standard ensembling
reducesthe bias, leading us to hypothesize that ensembles of classifiers may
perform well in part because of this unexpected reduction.We conclude by an
empirical analysis of recent deep learning methods that ensemble over
hyperparameters, revealing that these techniques indeed favor bias reduction.
This suggests that, contrary to classical wisdom, targeting bias reduction may
be a promising direction for classifier ensembles."
A Unified Theory of Diversity in Ensemble Learning,"- **Relevance Score:** 41/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses bias‑variance decomposition and ambiguity term to link diversity with reduced loss; derives conditions (squared loss, mean combiner) for ensemble error ≤ individual error; does not address MoE, uncertainty quantification, or broader superiority guarantees.",https://scispace.com/paper/a-unified-theory-of-diversity-in-ensemble-learning-2j85kjly,2023,Posted Content,"","",10.48550/arxiv.2301.03962,https://scispace.com/pdf/a-unified-theory-of-diversity-in-ensemble-learning-2j85kjly.pdf,"We present a theory of ensemble diversity, explaining the nature and effect of diversity for a wide range of supervised learning scenarios. This challenge, of understanding ensemble diversity, has been referred to as the holy grail of ensemble learning, an open question for over 30 years. Our framework reveals that diversity is in fact a hidden dimension in the bias-variance decomposition of an ensemble. In particular, we prove a family of exact bias-variance-diversity decompositions, for both classification and regression losses, e.g., squared, and cross-entropy. The framework provides a methodology to automatically identify the combiner rule enabling such a decomposition, specific to the loss. The formulation of diversity is therefore dependent on just two design choices: the loss, and the combiner. For certain choices (e.g., 0-1 loss with majority voting) the effect of diversity is necessarily dependent on the target label. Experiments illustrate how we can use our framework to understand the diversity-encouraging mechanisms of popular ensemble methods: Bagging, Boosting, and Random Forests. "
A Unified Theory of Diversity in Ensemble Learning,"- **Relevance Score:** 41/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Provides bias‑variance‑diversity decompositions and links diversity to performance; lacks MoE, uncertainty analysis, and explicit superiority guarantees.",https://scispace.com/paper/a-unified-theory-of-diversity-in-ensemble-learning-5eccmot6,2023,Journal Article,arXiv.org,"Danny Wood
Tianlong Mu
Andrew M. Webb
Henry W. J. Reeve
Mikel Luján
Gavin Brown",10.48550/arXiv.2301.03962,"","We present a theory of ensemble diversity, explaining the nature and eﬀect of diversity for a wide range of supervised learning scenarios. This challenge, of understanding ensemble diversity, has been referred to as the “holy grail” of ensemble learning, an open question for over 30 years. Our framework reveals that diversity is in fact a hidden dimension in the bias-variance decomposition of an ensemble. In particular, we prove a family of exact bias-variance-diversity decompositions, for both classiﬁcation and regression losses, e.g., squared, and cross-entropy. The framework provides a methodology to automatically identify the combiner rule enabling such a decomposition, speciﬁc to the loss. The formulation of diversity is therefore dependent on just two design choices: the loss, and the combiner. For certain choices (e.g., 0-1 loss with majority voting) the eﬀect of diversity is necessarily dependent on the target label. Experiments illustrate how we can use our framework to understand the diversity-encouraging mechanisms of popular ensemble methods: Bagging, Boosting, and Random Forests."
Towards a Systematic Approach to Design New Ensemble Learning Algorithms,"- **Relevance Score:** 41/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses bias‑variance‑diversity decomposition to analyze ensembles; derives diversity‑performance links guiding new algorithms. Discusses when ensembles outperform single models, but lacks MoE, uncertainty theory, and formal uncertainty analysis.",https://scispace.com/paper/towards-a-systematic-approach-to-design-new-ensemble-4u8yxr0xm4,2024,Journal Article,arXiv.org,"João Mendes-Moreira
Tiago Mendes-Neves",10.48550/arxiv.2402.06818,"","Ensemble learning has been a focal point of machine learning research due to its potential to improve predictive performance. This study revisits the foundational work on ensemble error decomposition, historically confined to bias-variance-covariance analysis for regression problems since the 1990s. Recent advancements introduced a""unified theory of diversity,""which proposes an innovative bias-variance-diversity decomposition framework. Leveraging this contemporary understanding, our research systematically explores the application of this decomposition to guide the creation of new ensemble learning algorithms. Focusing on regression tasks, we employ neural networks as base learners to investigate the practical implications of this theoretical framework. This approach used 7 simple ensemble methods, we name them strategies, for neural networks that were used to generate 21 new ensemble algorithms. Among these, most of the methods aggregated with the snapshot strategy, one of the 7 strategies used, showcase superior predictive performance across diverse datasets w.r.t. the Friedman rank test with the Conover post-hoc test. Our systematic design approach contributes a suite of effective new algorithms and establishes a structured pathway for future ensemble learning algorithm development."
Ensemble time series forecasting with applications in power systems and financial markets,"- **Relevance Score:** 41/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Discusses bias‑variance decomposition and diversity‑accuracy link, but lacks formal proofs for MoE, uncertainty, and precise superiority conditions.",https://scispace.com/paper/ensemble-time-series-forecasting-with-applications-in-power-55fvecha3r,2018,Dissertation,"",Xueheng Qiu,10.32657/10220/46281,https://scispace.com/pdf/ensemble-time-series-forecasting-with-applications-in-power-55fvecha3r.pdf,""
Diverse Weight Averaging for Out-of-Distribution Generalization,"- **Relevance Score:** 40/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Provides bias‑variance‑covariance decomposition for weight averaging, identifies variance‑dominant regimes where ensembles beat single models, and links functional diversity to improved OOD performance; lacks formal MoE, uncertainty, or explicit diversity‑accuracy trade‑off proofs.",https://scispace.com/paper/http://arxiv.org/abs/2205.09739v2,2022,Preprint,"","Alexandre Ramé
Matthieu Kirchmeyer
Thibaud Rahier
Alain Rakotomamonjy
Patrick Gallinari
Matthieu Cord","",http://arxiv.org/pdf/2205.09739v2,"Standard neural networks struggle to generalize under distribution shifts in
computer vision. Fortunately, combining multiple networks can consistently
improve out-of-distribution generalization. In particular, weight averaging
(WA) strategies were shown to perform best on the competitive DomainBed
benchmark; they directly average the weights of multiple networks despite their
nonlinearities. In this paper, we propose Diverse Weight Averaging (DiWA), a
new WA strategy whose main motivation is to increase the functional diversity
across averaged models. To this end, DiWA averages weights obtained from
several independent training runs: indeed, models obtained from different runs
are more diverse than those collected along a single run thanks to differences
in hyperparameters and training procedures. We motivate the need for diversity
by a new bias-variance-covariance-locality decomposition of the expected error,
exploiting similarities between WA and standard functional ensembling.
Moreover, this decomposition highlights that WA succeeds when the variance term
dominates, which we show occurs when the marginal distribution changes at test
time. Experimentally, DiWA consistently improves the state of the art on
DomainBed without inference overhead."
Diversity and generalization in neural network ensembles,"- **Relevance Score:** 38/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Provides rigorous theory linking diversity to ensemble generalization and conditions for superiority, but does not address bias‑variance trade‑off, Mixture‑of‑Experts, or uncertainty quantification.",https://scispace.com/paper/diversity-and-generalization-in-neural-network-ensembles-3xi95qtntr,2021,Posted Content,arXiv: Learning,"Luis A. Ortega
Rafael Cabañas
Andrés R. Masegosa","",https://proceedings.mlr.press/v151/ortega22a/ortega22a.pdf,"Ensembles are widely used in machine learning and, usually, provide state-of-the-art performance in many prediction tasks. From the very beginning, the diversity of an ensemble has been identified as a key factor for the superior performance of these models. But the exact role that diversity plays in ensemble models is poorly understood, specially in the context of neural networks. In this work, we combine and expand previously published results in a theoretically sound framework that describes the relationship between diversity and ensemble performance for a wide range of ensemble methods. More precisely, we provide sound answers to the following questions: how to measure diversity, how diversity relates to the generalization error of an ensemble, and how diversity is promoted by neural network ensemble algorithms. This analysis covers three widely used loss functions, namely, the squared loss, the cross-entropy loss, and the 0-1 loss; and two widely used model combination strategies, namely, model averaging and weighted majority vote. We empirically validate this theoretical analysis with neural network ensembles."
A survey on epistemic (model) uncertainty in supervised learning: Recent advances and applications,"- **Relevance Score:** 37/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Survey outlines bias‑variance and diversity impacts, discusses epistemic uncertainty via ensembles, but lacks original formal proofs, MoE treatment, or explicit superiority conditions.",https://scispace.com/paper/a-survey-on-epistemic-model-uncertainty-in-supervised-163luqqh,2022,Journal Article,Neurocomputing,"",10.1016/j.neucom.2021.10.119,https://scispace.com/pdf/a-survey-on-epistemic-model-uncertainty-in-supervised-163luqqh.pdf,""
"On Ensembles, I-Optimality, and Active Learning","- **Relevance Score:** 37/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses variance‑minimizing weights and negative‑correlation terms to discuss ensemble bias‑variance reduction, diversity effects, and uncertainty estimation, but lacks formal MoE treatment or explicit superiority proofs.",https://scispace.com/paper/on-ensembles-i-optimality-and-active-learning-x3nj2has1v,2021,Journal Article,Journal of statistical theory and practice,William D. Heavlin,10.1007/S42519-021-00200-4,https://scispace.com/pdf/on-ensembles-i-optimality-and-active-learning-x3nj2has1v.pdf,"We consider the active learning problem for a supervised learning model: That is, after training a black box model on a given dataset, we determine which (large batch of) unlabeled candidates to label in order to improve the model further. We concentrate on the large batch case, because this is most aligned with most machine learning applications, and because it is more theoretically rich. Our approach blends three ideas: (1) We quantify model uncertainty with jackknife-like 50-per cent sub-samples (“half-samples”). (2) To select which n of C candidates to label, we consider (a rank-
 $$(M-1)$$
 estimate of) the associated $$C\times C$$
 prediction covariance matrix, which has good properties. (3) Our algorithm works only indirectly with this covariance matrix, using a linear-in-C object. We illustrate by fitting a deep neural network to about 20 percent of the CIFAR-10 image dataset. The statistical efficiency we achieve is $$3\times$$
 random selection."
Robust quantification of prediction uncertainty by inducing heterogeneity in deep ensembles,"- **Relevance Score:** 37/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses bias‑variance intuition to guide heterogeneity; shows empirically that diversity improves accuracy and uncertainty detection, but lacks formal theory, MoE treatment, or guarantees.",https://scispace.com/paper/robust-quantification-of-prediction-uncertainty-by-inducing-1zg7dw823h,2023,Journal Article,"","Akib Mashrur
Wei Luo
Nayyar A. Zaidi
Antonio Robles-Kelly",10.1109/dicta60407.2023.00072,"","Deep ensemble models have garnered attention for their capacity to yield robust predictions along with well-calibrated uncertainty estimates. Empirical evidence suggests that augmenting the number of models within deep ensembles fosters greater diversity in the functional space, enabling the exploration of multiple local optima effectively. This leads to more robust uncertainty estimates in the model. In this paper, we introduce a novel methodology to substantially enhance model diversity by inducing model heterogeneity through controlled perturbation of input images, thereby de-correlating individual models based on their local bias. Drawing inspiration from the bias-variance trade-off, our approach incorporates pre-generated masks during the training process to further refine model performance. To validate the efficacy of our technique in providing more robust estimates under dataset shift, we evaluate model diversity and predictive uncertainty on test samples from both familiar and unfamiliar distributions. Our results demonstrate that our proposed method outperforms recent approaches in detecting out-of-distribution samples, establishing its superiority within the existing literature. "
Diversity and Generalization in Neural Network Ensembles,"- **Relevance Score:** 35/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Provides a solid theoretical link between diversity measures and ensemble generalization error, but lacks bias‑variance analysis, MoE treatment, and explicit uncertainty or guaranteed superiority conditions.",https://scispace.com/paper/diversity-and-generalization-in-neural-network-ensembles-3xi95qtntr,2021,Posted Content,arXiv: Learning,"Luis A. Ortega
Rafael Cabañas
Andrés R. Masegosa","",http://arxiv.org/pdf/2110.13786.pdf,"Ensembles are widely used in machine learning and, usually, provide state-of-the-art performance in many prediction tasks. From the very beginning, the diversity of an ensemble has been identified as a key factor for the superior performance of these models. But the exact role that diversity plays in ensemble models is poorly understood, specially in the context of neural networks. In this work, we combine and expand previously published results in a theoretically sound framework that describes the relationship between diversity and ensemble performance for a wide range of ensemble methods. More precisely, we provide sound answers to the following questions: how to measure diversity, how diversity relates to the generalization error of an ensemble, and how diversity is promoted by neural network ensemble algorithms. This analysis covers three widely used loss functions, namely, the squared loss, the cross-entropy loss, and the 0-1 loss; and two widely used model combination strategies, namely, model averaging and weighted majority vote. We empirically validate this theoretical analysis with neural network ensembles."
"Review of: ""Diversity of Thought Elicits Stronger Reasoning Capabilities in Multi-Agent Debate Frameworks""","- **Relevance Score:** 35/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Provides broad review linking diversity to reasoning, but lacks formal theoretical analysis, proofs, or algorithmic details.",https://scispace.com/paper/review-of-diversity-of-thought-elicits-stronger-reasoning-6piggdt1a0e2,2024,Journal Article,"",Cristina Oana Vlas,10.32388/l7p3su,https://scispace.compdf/review-of-diversity-of-thought-elicits-stronger-reasoning-6piggdt1a0e2.pdf,"Potential competing interests: No potential competing interests to declare.The manuscript is generally clear and well-structured, focusing on enhancing the reasoning capabilities of large language models (LLMs) through a multi-agent debate framework that incorporates diverse model architectures.The topic is relevant to the field of artificial intelligence, particularly in improving mathematical reasoning tasks where current models often falter.The paper is organized logically, guiding the reader through the introduction, methodology, experiments, and conclusions.However, some sections, especially those explaining the theoretical basis for the observed phenomena, lack depth, affecting the overall clarity.Several theoretical frameworks and studies from machine learning, cognitive science, and related fields help explain why diversity among models enhances reasoning capabilities.In machine learning, ensemble learning provides a strong foundation for understanding the benefits of model diversity.Ensemble methods like bagging and boosting improve model performance by combining multiple models to reduce variance without significantly increasing bias.Diverse models tend to make uncorrelated errors, so aggregating their predictions can lead to better overall accuracy.The theoretical justification lies in the fact that the accuracy of an ensemble is higher when the individual models are both accurate and diverse.Studies by Dietterich (2000) and Kuncheva and Whitaker (2003) highlight that ensemble methods work best when individual models disagree in their errors, emphasizing the importance of diversity.The concept of the ""Wisdom of Crowds"" from social sciences also contributes to this understanding.Aggregating independent judgments from a diverse group can produce results superior to those of any individual member, as errors can cancel out.The diversity in opinions leads to a wider exploration of possible solutions, increasing the chance of finding the correct one.Surowiecki (2004) and Hong and Page (2004) illustrate how diversity, independence, and decentralization contribute to collective intelligence, demonstrating mathematically that diverse groups can outperform more homogeneous ones in problem-solving tasks.Cognitive diversity in problem-solving is another area that sheds light on this phenomenon.Page's Diversity Theorem posits that diversity in problem-solving approaches can lead to better group performance than groups composed of the best individual performers.Diverse individuals bring different heuristics and perspectives, enhancing the group's ability to explore the solution space.Page (2007) discusses how cognitive diversity drives innovation and problem-solving effectiveness.Negative correlation learning is a concept where encouraging individual models in an ensemble to specialize by penalizing "
