"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract"
"PromptPex: Automatic Test Generation for Language Model Prompts","https://scispace.com/paper/http://arxiv.org/abs/2503.05070v1","2025","Preprint","","Reshabh K Sharma
Jonathan De Halleux
Shraddha Barke
Benjamin Zorn","","http://arxiv.org/pdf/2503.05070v1","Large language models (LLMs) are being used in many applications and prompts
for these models are integrated into software applications as code-like
artifacts. These prompts behave much like traditional software in that they
take inputs, generate outputs, and perform some specific function. However,
prompts differ from traditional code in many ways and require new approaches to
ensure that they are robust. For example, unlike traditional software the
output of a prompt depends on the AI model that interprets it. Also, while
natural language prompts are easy to modify, the impact of updates is harder to
predict. New approaches to testing, debugging, and modifying prompts with
respect to the model running them are required.
  To address some of these issues, we developed PromptPex, an LLM-based tool to
automatically generate and evaluate unit tests for a given prompt. PromptPex
extracts input and output specifications from a prompt and uses them to
generate diverse, targeted, and valid unit tests. These tests are instrumental
in identifying regressions when a prompt is changed and also serve as a tool to
understand how prompts are interpreted by different models. We use PromptPex to
generate tests for eight benchmark prompts and evaluate the quality of the
generated tests by seeing if they can cause each of four diverse models to
produce invalid output. PromptPex consistently creates tests that result in
more invalid model outputs than a carefully constructed baseline LLM-based test
generator. Furthermore, by extracting concrete specifications from the input
prompt, PromptPex allows prompt writers to clearly understand and test specific
aspects of their prompts. The source code of PromptPex is available at
https://github.com/microsoft/promptpex."
"LLM Harmony: Multi-Agent Communication for Problem Solving","https://scispace.com/paper/http://arxiv.org/abs/2401.01312v1","2024","Preprint","","Sumedh Rasal","","http://arxiv.org/pdf/2401.01312v1","Large Language Models (LLMs) have revolutionized Natural Language Processing
but exhibit limitations, particularly in autonomously addressing novel
challenges such as reasoning and problem-solving. Traditional techniques like
chain-of-thought prompting necessitate explicit human guidance. This paper
introduces a novel multi-agent communication framework, inspired by the CAMEL
model, to enhance LLMs' autonomous problem-solving capabilities. The framework
employs multiple LLM agents, each with a distinct persona, engaged in
role-playing communication, offering a nuanced and adaptable approach to
diverse problem scenarios. Extensive experimentation demonstrates the
framework's superior performance and adaptability, providing valuable insights
into the collaborative potential of multiple agents in overcoming the
limitations of individual models."
"Can AI with High Reasoning Ability Replicate Human-like Decision Making
  in Economic Experiments?","https://scispace.com/paper/http://arxiv.org/abs/2406.11426v1","2024","Preprint","","Ayato Kitadai
Sinndy Dayana Rico Lugo
Yudai Tsurusaki
Yusuke Fukasawa
Nariaki Nishino","10.1007/s10726-025-09946-9","http://arxiv.org/pdf/2406.11426v1","Economic experiments offer a controlled setting for researchers to observe
human decision-making and test diverse theories and hypotheses; however,
substantial costs and efforts are incurred to gather many individuals as
experimental participants. To address this, with the development of large
language models (LLMs), some researchers have recently attempted to develop
simulated economic experiments using LLMs-driven agents, called generative
agents. If generative agents can replicate human-like decision-making in
economic experiments, the cost problem of economic experiments can be
alleviated. However, such a simulation framework has not been yet established.
Considering the previous research and the current evolutionary stage of LLMs,
this study focuses on the reasoning ability of generative agents as a key
factor toward establishing a framework for such a new methodology. A
multi-agent simulation, designed to improve the reasoning ability of generative
agents through prompting methods, was developed to reproduce the result of an
actual economic experiment on the ultimatum game. The results demonstrated that
the higher the reasoning ability of the agents, the closer the results were to
the theoretical solution than to the real experimental result. The results also
suggest that setting the personas of the generative agents may be important for
reproducing the results of real economic experiments. These findings are
valuable for the future definition of a framework for replacing human
participants with generative agents in economic experiments when LLMs are
further developed."
"MapCoder: Multi-Agent Code Generation for Competitive Problem Solving","https://scispace.com/paper/http://arxiv.org/abs/2405.11403v1","2024","Preprint","","Md. Ashraful Islam
Mohammed Eunus Ali
Md Rizwan Parvez","","http://arxiv.org/pdf/2405.11403v1","Code synthesis, which requires a deep understanding of complex natural
language problem descriptions, generation of code instructions for complex
algorithms and data structures, and the successful execution of comprehensive
unit tests, presents a significant challenge. While large language models
(LLMs) demonstrate impressive proficiency in natural language processing, their
performance in code generation tasks remains limited. In this paper, we
introduce a new approach to code generation tasks leveraging multi-agent
prompting that uniquely replicates the full cycle of program synthesis as
observed in human developers. Our framework, MapCoder, consists of four LLM
agents specifically designed to emulate the stages of this cycle: recalling
relevant examples, planning, code generation, and debugging. After conducting
thorough experiments, with multiple LLM ablations and analyses across eight
challenging competitive problem-solving and program synthesis benchmarks,
MapCoder showcases remarkable code generation capabilities, achieving new
state-of-the-art results (pass@1) on HumanEval (93.9%), MBPP (83.1%), APPS
(22.0%), CodeContests (28.5%), and xCodeEval (45.3%). Moreover, our method
consistently delivers superior performance across various programming languages
and varying problem difficulties. We open-source our framework at
https://github.com/Md-Ashraful-Pramanik/MapCoder."
"Prompt Baking","https://scispace.com/paper/http://arxiv.org/abs/2409.13697v1","2024","Preprint","","Aman Bhargava
Cameron Witkowski
Alexander Detkov
Matt Thomson","","http://arxiv.org/pdf/2409.13697v1","Two primary ways to change LLM behavior are prompting and weight updates
(e.g., fine-tuning). Prompting LLMs is simple and effective, specifying the
desired changes explicitly in natural language, whereas weight updates provide
more expressive and permanent behavior changes, specified implicitly via
training on large datasets. We present a technique for ""baking"" prompts into
the weights of an LLM. Prompt Baking converts a prompt $u$ and initial weights
$\theta$ to a new set of weights $\theta_u$ such that new ""baked"" LLM behaves
like the original prompted LLM. Mathematically, we minimize the KL divergence
between $P_\theta(\cdot | u)$ and $P_{\theta_u}(\cdot)$, where $P$ is the LLM's
probability distribution over token sequences. Across all our experiments, we
find prompts can be readily baked into weight updates. Baking chain-of-thought
prompts improves zero-shot performance on GSM8K, ASDiv, MBPP, ARC-Easy,
ARC-Challenge, and CommonsenseQA benchmarks. Baking news headlines directly
updates an LLM's knowledge. And baking instructions & personas alleviates
""prompt forgetting"" over long sequences. Furthermore, stopping baking early
creates ""half-baked"" models, continuously scaling prompt strength. Baked models
retain their sensitivity to further prompting and baking, including
re-prompting with the baked-in prompt. Surprisingly, the re-prompted models
yield further performance gains in instruction following, as well as math
reasoning and coding benchmarks. Taking re-prompting and re-baking to the limit
yields a form of iterative self-improvement we call Prompt Pursuit, and
preliminary results on instruction following exhibit dramatic performance
gains. Finally, we discuss implications for AI safety, continuous model
updating, enhancing real-time learning capabilities in LLM-based agents, and
generating more stable AI personas."
"Whose Boat Does it Float? Improving Personalization in Preference Tuning
  via Inferred User Personas","https://scispace.com/paper/http://arxiv.org/abs/2501.11549v2","2025","Preprint","","Nishant Balepur
Vishakh Padmakumar
Fumeng Yang
Shi Feng
Rachel Rudinger
Jordan Lee Boyd-Graber","","http://arxiv.org/pdf/2501.11549v2","LLMs are aligned to follow input instructions by learning which of two
responses users prefer for a prompt. However, such preference data do not
convey why users prefer responses that are chosen or rejected, so LLMs trained
on these datasets cannot tailor responses to varied user needs. To surface
these parameters of personalization, we apply abductive reasoning to preference
data, inferring needs and interests of users, i.e., personas, that may prefer
either response. We test this idea in two steps: Persona Inference (PI),
abductively inferring personas of users who prefer chosen or rejected outputs,
and Persona Tailoring (PT), training models to tailor outputs to personas from
PI. We show: 1) LLMs infer personas accurately explaining why different users
may prefer both chosen or rejected outputs; 2) Training on preference data
augmented with PI personas via PT boosts personalization and generalizes to
supporting user-written personas; and 3) Rejected response personas form harder
personalization evaluations, showing PT better aids users with uncommon
preferences versus typical alignment methods. We argue for an abductive view of
preferences for personalization, asking not only which response is better but
when, why, and for whom."
"Unleashing the Emergent Cognitive Synergy in Large Language Models: A
  Task-Solving Agent through Multi-Persona Self-Collaboration","https://scispace.com/paper/http://arxiv.org/abs/2307.05300v4","2023","Preprint","","Zhenhailong Wang
Shaoguang Mao
Wenshan Wu
Tao Ge
Furu Wei
Heng Ji","","http://arxiv.org/pdf/2307.05300v4","Human intelligence thrives on cognitive synergy, where collaboration among
different minds yield superior outcomes compared to isolated individuals. In
this work, we propose Solo Performance Prompting (SPP), which transforms a
single LLM into a cognitive synergist by engaging in multi-turn
self-collaboration with multiple personas. A cognitive synergist is an
intelligent agent that collaboratively combines multiple minds' strengths and
knowledge to enhance problem-solving in complex tasks. By dynamically
identifying and simulating different personas based on task inputs, SPP
unleashes the potential of cognitive synergy in LLMs. Our in-depth analysis
shows that assigning multiple fine-grained personas in LLMs improves
problem-solving abilities compared to using a single or fixed number of
personas. We evaluate SPP on three challenging tasks: Trivia Creative Writing,
Codenames Collaborative, and Logic Grid Puzzle, encompassing both
knowledge-intensive and reasoning-intensive types. Unlike previous works, such
as Chain-of-Thought, that solely enhance the reasoning abilities in LLMs,
experimental results demonstrate that SPP effectively reduces factual
hallucination, and maintains strong reasoning capabilities. Additionally,
comparative experiments show that cognitive synergy only emerges in GPT-4 and
does not appear in less capable models, such as GPT-3.5-turbo and
Llama2-13b-chat, which draws an interesting analogy to human development. Code,
data, and prompts can be found at:
https://github.com/MikeWangWZHL/Solo-Performance-Prompting.git."
"TestForge: Feedback-Driven, Agentic Test Suite Generation","https://scispace.com/paper/http://arxiv.org/abs/2503.14713v1","2025","Preprint","","Kush Jain
Claire Le Goues","","http://arxiv.org/pdf/2503.14713v1","Automated test generation holds great promise for alleviating the burdens of
manual test creation. However, existing search-based techniques compromise on
test readability, while LLM-based approaches are prohibitively expensive in
practice. We present TestForge, an agentic unit testing framework designed to
cost-effectively generate high-quality test suites for real-world code. Our key
insight is to reframe LLM-based test generation as an iterative process.
TestForge thus begins with tests generated via zero-shot prompting, and then
continuously refines those tests based on feedback from test executions and
coverage reports. We evaluate TestForge on TestGenEval, a real world unit test
generation benchmark sourced from 11 large scale open source repositories; we
show that TestForge achieves a pass@1 rate of 84.3%, 44.4% line coverage and
33.8% mutation score on average, outperforming prior classical approaches and a
one-iteration LLM-based baseline. TestForge produces more natural and
understandable tests compared to state-of-the-art search-based techniques, and
offers substantial cost savings over LLM-based techniques (at $0.63 per file).
Finally, we release a version of TestGenEval integrated with the OpenHands
platform, a popular open-source framework featuring a diverse set of software
engineering agents and agentic benchmarks, for future extension and
development."
"Harnessing Multi-Agent LLMs for Complex Engineering Problem-Solving: A
  Framework for Senior Design Projects","https://scispace.com/paper/http://arxiv.org/abs/2501.01205v1","2025","Preprint","","Abdullah Mushtaq
Muhammad Rafay Naeem
Ibrahim Ghaznavi
Muhammad Imran Taj
Imran Hashmi
Junaid Qadir","","http://arxiv.org/pdf/2501.01205v1","Multi-Agent Large Language Models (LLMs) are gaining significant attention
for their ability to harness collective intelligence in complex
problem-solving, decision-making, and planning tasks. This aligns with the
concept of the wisdom of crowds, where diverse agents contribute collectively
to generating effective solutions, making it particularly suitable for
educational settings. Senior design projects, also known as capstone or final
year projects, are pivotal in engineering education as they integrate
theoretical knowledge with practical application, fostering critical thinking,
teamwork, and real-world problem-solving skills. In this paper, we explore the
use of Multi-Agent LLMs in supporting these senior design projects undertaken
by engineering students, which often involve multidisciplinary considerations
and conflicting objectives, such as optimizing technical performance while
addressing ethical, social, and environmental concerns. We propose a framework
where distinct LLM agents represent different expert perspectives, such as
problem formulation agents, system complexity agents, societal and ethical
agents, or project managers, thus facilitating a holistic problem-solving
approach. This implementation leverages standard multi-agent system (MAS)
concepts such as coordination, cooperation, and negotiation, incorporating
prompt engineering to develop diverse personas for each agent. These agents
engage in rich, collaborative dialogues to simulate human engineering teams,
guided by principles from swarm AI to efficiently balance individual
contributions towards a unified solution. We adapt these techniques to create a
collaboration structure for LLM agents, encouraging interdisciplinary reasoning
and negotiation similar to real-world senior design projects. To assess the
efficacy of this framework, we collected six proposals of engineering and
computer science of..."
"Persona is a Double-edged Sword: Mitigating the Negative Impact of
  Role-playing Prompts in Zero-shot Reasoning Tasks","https://scispace.com/paper/http://arxiv.org/abs/2408.08631v2","2024","Preprint","","Junseok Kim
Nakyeong Yang
Kyomin Jung","","http://arxiv.org/pdf/2408.08631v2","Recent studies demonstrate that prompting a role-playing persona to an LLM
improves reasoning capability. However, assigning an adequate persona is
difficult since LLMs are extremely sensitive to assigned prompts; thus,
inaccurately defined personas sometimes hinder LLMs and degrade their reasoning
capabilities. In this paper, we first investigate the potential negative impact
of injecting persona into language models. Furthermore, we propose a novel
framework, Jekyll \& Hyde, which ensembles the outcomes of both role-playing
and neutral prompts to enhance the robustness of reasoning ability.
Specifically, Jekyll \& Hyde predicts an appropriate persona using an LLM when
defining the role-playing prompt. Then, Jekyll \& Hyde collects two potential
solutions from role-playing and neutral prompts and selects a better solution
using the LLM evaluator. The experimental analysis demonstrates that
role-playing prompts sometimes distract LLMs, degrading their reasoning
abilities in 7 out of 12 datasets in llama3. Meanwhile, Jekyll \& Hyde improve
reasoning capabilities by selecting better choices among the potential
solutions on twelve widely-used natural language reasoning datasets. In
addition, we reveal that assigning LLM-generated personas obtains more stable
results than handcrafted personas."
