"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Artificial intelligence in software testing: Impact, problems, challenges and prospect","https://scispace.com/paper/artificial-intelligence-in-software-testing-impact-problems-3ttcdruu","2022","Posted Content","","Z Khaliq
SU Farooq
DA Khan","10.48550/arxiv.2201.05371","https://arxiv.org/pdf/2201.05371","… Considering the lack of industrial expertise and research work this section outlines some of the open problems and challenges in the application of AI to software testing. …","Artificial Intelligence (AI) is making a significant impact in multiple areas like medical, military, industrial, domestic, law, arts as AI is capable to perform several roles such as managing smart factories, driving autonomous vehicles, creating accurate weather forecasts, detecting cancer and personal assistants, etc. Software testing is the process of putting the software to test for some abnormal behaviour of the software. Software testing is a tedious, laborious and most time-consuming process. Automation tools have been developed that help to automate some activities of the testing process to enhance quality and timely delivery. Over time with the inclusion of continuous integration and continuous delivery (CI/CD) pipeline, automation tools are becoming less effective. The testing community is turning to AI to fill the gap as AI is able to check the code for bugs and errors without any human intervention and in a much faster way than humans. In this study, we aim to recognize the impact of AI technologies on various software testing activities or facets in the STLC. Further, the study aims to recognize and explain some of the biggest challenges software testers face while applying AI to testing. The paper also proposes some key contributions of AI in the future to the domain of software testing. "
"A survey on software testing automation using machine learning techniques","https://scispace.com/paper/a-survey-on-software-testing-automation-using-machine-23qlood4","2022","Journal Article","International Journal of Computer Applications","Mustafa Abdul Salam
Mohamed Abdel Fattah
Abdullah Abdel Moemen","10.5120/ijca2022921919","https://fci.stafpu.bu.edu.eg/Information%20Systems/6446/publications/abdallah%20mohamed%20abdelmoamen_salam-2022-ijca-921919.pdf","… machine learning approaches, such as deep learning, are … software quality assurance is software testing. This procedure is … A survey has been conducted with comparison between …",""
"Natural language processing-based software testing: A systematic literature review","https://scispace.com/paper/natural-language-processing-based-software-testing-a-2wwdc595mf","2024","Journal Article","IEEE Access","Mohamed Boukhlif
Mohamed Hanine
Nassim Kharmoum
Atenea Ruigómez Noriega
David García Obeso
Imran Ashraf","10.1109/access.2024.3407753","https://ieeexplore.ieee.org/iel8/6287639/6514899/10542730.pdf","… , software testing types, machine/deep learning algorithms, … This study also stressed some recurrent open challenges that … As the field progresses, this systematic review serves as a …","New approaches to software testing are required due to the rising complexity of today's software applications and the rapid growth of software engineering practices. Among these methods, one that has shown promise is the introduction of Natural Language Processing (NLP) tools to software testing practices. NLP has witnessed a rise in popularity within all IT fields, especially in software engineering, where its use has improved the way we extract information from textual data. The goal of this systematic literature review (SLR) is to provide an in-depth analysis of the present body of the literature on the expanding subject of NLP-based software testing. Through a repeatable process, that takes into account the quality of the research, we examined 24 papers extracted from Web of Science and Scopus databases to extract insights about the usage of NLP techniques in the field of software testing. Requirements analysis and test case generation popped up as the most hot topics in the field. We also explored NLP techniques, software testing types, machine/deep learning algorithms, and NLP tools and frameworks used in the studied body of literature. This study also stressed some recurrent open challenges that need further work in future research such as the generalization of the NLP algorithm across domains and languages and the ambiguity in the natural language requirements. Software testing professionals and researchers can get important insights from the findings of this SLR, which will help them comprehend the advantages and challenges of using NLP in software testing. "
"Machine learning testing: Survey, landscapes and horizons","https://scispace.com/paper/machine-learning-testing-survey-landscapes-and-horizons-2tgy534fxl","2019","Posted Content","arXiv: Learning","Jie Zhang
Mark Harman
Lei Ma
Yang Liu","","https://arxiv.org/pdf/1906.10742","… We also identify open problems and challenges for the emerging research community … for software testing and problems in machine learning testing. To ensure that our survey is self-…","This paper provides a comprehensive survey of Machine Learning Testing (ML testing) research. It covers 144 papers on testing properties (e.g., correctness, robustness, and fairness), testing components (e.g., the data, learning program, and framework), testing workflow (e.g., test generation and test evaluation), and application scenarios (e.g., autonomous driving, machine translation). The paper also analyses trends concerning datasets, research trends, and research focus, concluding with research challenges and promising research directions in ML testing."
"Constrained adversarial learning and its applicability to automated software testing: a systematic review","https://scispace.com/paper/constrained-adversarial-learning-and-its-applicability-to-105wikul","2023","Journal Article","arXiv.org","João Vitorino
Tiago Dias
Tiago Fonseca
Eva Maia
Isabel Pracca","10.48550/arXiv.2303.07546","https://arxiv.org/pdf/2303.07546","… and limitations of approaches specific for software testing … systematic review was: ”How can automated software testing tools be improved with constrained adversarial machine learning …","Every novel technology adds hidden vulnerabilities ready to be exploited by a growing number of cyber-attacks. Automated software testing can be a promising solution to quickly analyze thousands of lines of code by generating and slightly modifying function-specific testing data to encounter a multitude of vulnerabilities and attack vectors. This process draws similarities to the constrained adversarial examples generated by adversarial learning methods, so there could be significant benefits to the integration of these methods in automated testing tools. Therefore, this systematic review is focused on the current state-of-the-art of constrained data generation methods applied for adversarial learning and software testing, aiming to guide researchers and developers to enhance testing tools with adversarial learning methods and improve the resilience and robustness of their digital systems. The found constrained data generation applications for adversarial machine learning were systematized, and the advantages and limitations of approaches specific for software testing were thoroughly analyzed, identifying research gaps and opportunities to improve testing tools with adversarial attack methods."
"Survey on identification and prediction of security threats using various deep learning models on software testing","https://scispace.com/paper/survey-on-identification-and-prediction-of-security-threats-3eqynefx5o","2024","Journal Article","Multimedia Tools and Applications","Suman
Raees Ahmad Khan","10.1007/s11042-024-18323-8","","… risks in software testing by using a number of deep learning … on the use of deep learning models in software testing for the … exiting techniques related as software testing model and its …",""
"THE ROLE OF AI IN SOFTWARE TEST AUTOMATION-A SYSTEMATIC LITERATURE","https://scispace.com/paper/8y0V-dsi4lQJ","","","","RMS Ranapana
W Wijayanayake","","https://conf.kln.ac.lk/drc/media/attachments/2025/09/11/cm-tec.pdf#page=190","… Artificial Intelligence (AI) offers a transformative solution to address challenges in software testing. AI technologies, … The systematic review of the literature was based on the role of …",""
"Role of Machine Learning & Artificial Intelligence Techniques in Software Testing","https://scispace.com/paper/role-of-machine-learning-artificial-intelligence-techniques-p57brts9zr","2021","Journal Article","","Nilofar Mulla
Naveenkumar Jayakumar","10.17762/TURCOMAT.V12I6.5800","https://www.researchgate.net/profile/Nilofar-Mulla-2/publication/374628826_Role_of_Machine_Learning_Artificial_Intelligence_Techniques_in_Software_Testing/links/65277e3582fd2a6bab8812a3/Role-of-Machine-Learning-Artificial-Intelligence-Techniques-in-Software-Testing.pdf","… artificial intelligence (AI) and machine learning (ML) techniques in the field of software testing… , in that case, Artificial Intelligence copes with those challenges and finds solutions to those …","This study provides information about the use of artificial intelligence (AI) and machine learning (ML) techniques in the field of software testing. The use of AI in software testing is still in its initial stages. Also the automation level is lesser compared to more evolved areas of work.AI and ML can be used to help reduce tediousness and automate tasks in software testing. Testing can be made more efficient and smarter with the help of AI. Researchers recognize potential of AI to bridge the gap between human and machine driven testing capabilities. There are still number of challenges to fully utilize AI and ML techniques in testing but it will definitely enhance the entire testing process and skills of testers and will contribute in business growth. Machine learning research is a subset of overall AI research. The life-cycle of software is increasingly shortening and becoming more complicated. There is a struggle in software development between the competing pressures of developing software and meeting deadlines. AI-powered automated testing makes conducting full test suites in a timely manner on every change. In this article a detailed overview about the various applications of AI in software testing have been demonstrated. Also the implementation of machine learning in software testing has been discussed in detail and use of different machine learning techniques has been explained as well."
"A Systematic Review of AI Based Software Test Case Optimization","https://scispace.com/paper/a-systematic-review-of-ai-based-software-test-case-6kh5vq53xlqy","2024","Journal Article","INTERNATIONAL RESEARCH JOURNAL OF MULTIDISCIPLINARY SCOPE","Mani Padmanabhan","10.47857/irjms.2024.v05i04.01451","https://www.irjms.com/wp-content/uploads/2024/10/Manuscript_IRJMS_01451_WS.pdf","… artificial intelligence in the following software testing … artificial intelligence into software test case optimization techniques and anticipate potential future directions in the software testing…","Software test case optimization for real-time systems is a vulnerability detection methodology that assesses the resilience of targeted programs by subjecting them to irregular input data. As the volume, size, and intricacy of software continue to escalate, conventional manual test case generation has encountered challenges like insufficient logical coverage, minimal automation levels, and inadequate test scenarios. These difficulties underscore the need for innovative approaches that maximize software dependability and performance. An artificial intelligence powered fuzzing technique, which exhibits remarkable proficiency in data analysis and classification prediction. This paper examines the recent advancements in fuzzing research and conducts a comprehensive review of artificial intelligence driven fuzzing approaches in software test cases optimization. The major review explains the test case validation workflow and discusses the optimization of distinct phases within fuzzing utilizing in the software testing. Particular emphasis is placed on the implementation of artificial intelligence in the following software testing phases. This process involves position selection, which includes organizing and cleaning data; generating test cases that cover different inputs and expected outputs; selecting fuzzy input values for testing edge cases; validating the results of each test case to ensure accuracy and reliability. Finally, it synthesizes the obstacles and complexities associated with integrating artificial intelligence into software test case optimization techniques and anticipate potential future directions in the software testing. "
"Artificial Intelligence Role in Software Automation Testing","https://scispace.com/paper/artificial-intelligence-role-in-software-automation-testing-618cx0uz8ywg","2024","Proceedings Article","","Akil Awad
Mahmoud H. Qutqut
Ali Ahmed
Fatima Alhaj
Fadi Almasalha","10.1109/dasa63652.2024.10836630","https://www.researchgate.net/profile/Mahmoud-Qutqut/publication/388131546_Artificial_Intelligence_Role_in_Software_Automation_Testing/links/678ce9e9ec3ae3435a6e009f/Artificial-Intelligence-Role-in-Software-Automation-Testing.pdf","… The main advantage of AI in software testing lies in its ability to enhance accuracy and … AI in automated software testing, critically analyzing the limitations of traditional automated testing …","Artificial intelligence (AI) significantly influences the systems and applications that underpin modern life. Large datasets are generated from diverse sources. Hence, there is a need for effective data monitoring, processing, and reporting, which is crucial for making influential decisions. In developing complex software systems, AI has become essential for ensuring rigorous testing that aligns with business requirements within constrained timelines. The main advantage of AI in software testing lies in its ability to enhance accuracy and streamline repetitive tasks, ultimately reducing the time required for testing. To this end, this paper explores the role of AI in automated software testing, critically analyzing the limitations of traditional automated testing methods, which often struggle with inconsistent bug detection and have limited adaptability across different environments. By expanding test coverage and addressing these limitations, AI-driven tools can significantly enhance testing efficiency. Additionally, we investigate various AI-based tools designed to optimize software testing and strengthen quality assurance processes."
