"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"AgentCoder: Multi-Agent-based Code Generation with Iterative Testing and Optimisation","https://scispace.com/paper/agentcoder-multi-agent-based-code-generation-with-iterative-558wka9wmg","2023","Journal Article","arXiv.org","Dong Huang
Qi Bu
Jie M. Zhang
Michael Luck
Heming Cui","10.48550/arxiv.2312.13010","","The advancement of natural language processing (NLP) has been significantly boosted by the development of transformer-based large language models (LLMs). These models have revolutionized NLP tasks, particularly in code generation, aiding developers in creating software with enhanced efficiency. Despite their advancements, challenges in balancing code snippet generation with effective test case generation and execution persist. To address these issues, this paper introduces Multi-Agent Assistant Code Generation (AgentCoder), a novel solution comprising a multi-agent framework with specialized agents: the programmer agent, the test designer agent, and the test executor agent. During the coding procedure, the programmer agent will focus on the code generation and refinement based on the test executor agent's feedback. The test designer agent will generate test cases for the generated code, and the test executor agent will run the code with the test cases and write the feedback to the programmer. This collaborative system ensures robust code generation, surpassing the limitations of single-agent models and traditional methodologies. Our extensive experiments on 9 code generation models and 12 enhancement approaches showcase AgentCoder's superior performance over existing code generation models and prompt engineering techniques across various benchmarks. For example, AgentCoder achieves 77.4% and 89.1% pass@1 in HumanEval-ET and MBPP-ET with GPT-3.5, while SOTA baselines obtain only 69.5% and 63.0%.","This paper introduces Multi-Agent Assistant Code Generation (AgentCoder), a novel solution comprising a multi-agent framework with specialized agents: the programmer agent, the test designer agent, and the test executor agent that ensures robust code generation, surpassing the limitations of single-agent models and traditional methodologies"
"Multi-Agent Collaboration: Harnessing the Power of Intelligent LLM Agents","https://scispace.com/paper/multi-agent-collaboration-harnessing-the-power-of-2cixpjyx","2023","Journal Article","arXiv.org","Amirhossein Nadiri","10.48550/arXiv.2306.03314","","In this paper, we present a novel framework for enhancing the capabilities of large language models (LLMs) by leveraging the power of multi-agent systems. Our framework introduces a collaborative environment where multiple intelligent agent components, each with distinctive attributes and roles, work together to handle complex tasks more efficiently and effectively. We demonstrate the practicality and versatility of our framework through case studies in artificial general intelligence (AGI), specifically focusing on the Auto-GPT and BabyAGI models. We also examine the""Gorilla""model, which integrates external APIs into the LLM. Our framework addresses limitations and challenges such as looping issues, security risks, scalability, system evaluation, and ethical considerations. By modeling various domains such as courtroom simulations and software development scenarios, we showcase the potential applications and benefits of our proposed multi-agent system. Our framework provides an avenue for advancing the capabilities and performance of LLMs through collaboration and knowledge exchange among intelligent agents.","In this article , a framework for enhancing the capabilities of large language models (LLMs) by leveraging the power of multi-agent systems is presented, where multiple intelligent agent components, each with distinctive attributes and roles, work together to handle complex tasks."
"AutoGenesisAgent: Self-Generating Multi-Agent Systems for Complex Tasks","https://scispace.com/paper/autogenesisagent-self-generating-multi-agent-systems-for-4jpl96hxlm","2024","Preprint","","J. S. Harper","10.48550/arxiv.2404.17017","https://scispace.compdf/autogenesisagent-self-generating-multi-agent-systems-for-4jpl96hxlm.pdf","The proliferation of large language models (LLMs) and their integration into multi-agent systems has paved the way for sophisticated automation in various domains. This paper introduces AutoGenesisAgent, a multi-agent system that autonomously designs and deploys other multi-agent systems tailored for specific tasks. AutoGenesisAgent comprises several specialized agents including System Understanding, System Design, Agent Generator, and several others that collectively manage the lifecycle of creating functional multi-agent systems from initial concept to deployment. Each agent in AutoGenesisAgent has distinct responsibilities ranging from interpreting input prompts to optimizing system performance, culminating, in the deployment of a ready-to-use system. This proof-of-concept study discusses the design, implementation, and lessons learned from developing AutoGenesisAgent, highlighting its capability to generate and refine multi-agent systems autonomously, thereby reducing the need for extensive human oversight in the initial stages of system design. Keywords: multi-agent systems, large language models, system design automation, agent architecture, autonomous systems, software deployment ","AutoGenesisAgent is a self-generating multi-agent system that autonomously designs and deploys multi-agent systems for complex tasks."
"Towards Collaborative Intelligence: Propagating Intentions and Reasoning for Multi-Agent Coordination with Large Language Models","https://scispace.com/paper/towards-collaborative-intelligence-propagating-intentions-7h5clepnepe8","2024","Journal Article","arXiv.org","Xihe Qiu
Haoyu Wang
Xiaoyu Tan
Chao Qu
Yujie Xiong
Yuan Cheng
Yinghui Xu
Wei Chu
Yuan Qi","10.48550/arxiv.2407.12532","","Effective collaboration in multi-agent systems requires communicating goals and intentions between agents. Current agent frameworks often suffer from dependencies on single-agent execution and lack robust inter-module communication, frequently leading to suboptimal multi-agent reinforcement learning (MARL) policies and inadequate task coordination. To address these challenges, we present a framework for training large language models (LLMs) as collaborative agents to enable coordinated behaviors in cooperative MARL. Each agent maintains a private intention consisting of its current goal and associated sub-tasks. Agents broadcast their intentions periodically, allowing other agents to infer coordination tasks. A propagation network transforms broadcast intentions into teammate-specific communication messages, sharing relevant goals with designated teammates. The architecture of our framework is structured into planning, grounding, and execution modules. During execution, multiple agents interact in a downstream environment and communicate intentions to enable coordinated behaviors. The grounding module dynamically adapts comprehension strategies based on emerging coordination patterns, while feedback from execution agents influnces the planning module, enabling the dynamic re-planning of sub-tasks. Results in collaborative environment simulation demonstrate intention propagation reduces miscoordination errors by aligning sub-task dependencies between agents. Agents learn when to communicate intentions and which teammates require task details, resulting in emergent coordinated behaviors. This demonstrates the efficacy of intention sharing for cooperative multi-agent RL based on LLMs.","This study presents a framework using large language models to enable collaborative multi-agent reinforcement learning, where agents share intentions and adapt communication strategies to reduce miscoordination errors and achieve emergent coordinated behaviors in cooperative tasks."
"Enabling Synergistic Knowledge Sharing and Reasoning in Large Language Models with Collaborative Multi-Agents","https://scispace.com/paper/enabling-synergistic-knowledge-sharing-and-reasoning-in-5fk3mn6rbn","2023","Proceedings Article","","Shu-Ching Chen
Mei-Ling Shyu
Saad Sadiq","10.1109/cic58953.2023.00021","","Despite the significant advancements in the field of Natural Language Processing (NLP), Large Language Models (LLMs) have shown limitations in performing complex tasks that require arithmetic, commonsense, and symbolic reasoning. Reasoning frameworks like ReAct, Chain-of-thought (CoT), Tree-of-thoughts (ToT), etc. have shown success but with limitations in solving long-form complex tasks. To address this, we pro-pose a knowledge-sharing and collaborative multi-agent assisted framework on LLMs that leverages the capabilities of existing reasoning frameworks and the collaborative skills of multi-agent systems (MASs). The objectives of the proposed framework are to overcome the limitations of LLMs, enhance their reasoning capabilities, and improve their performance in complex tasks. It involves generating natural language rationales and in-context few-shot learning via prompting, and integrates the reasoning techniques with efficient knowledge-sharing and communication-driven agent networks. The potential benefits of the proposed framework include saving time and money, improved efficiency for computationally intensive reasoning, and the ability to incor-porate multiple collaboration strategies for dynamically changing environments.","A knowledge-sharing and collaborative multi-agent assisted framework that leverages the capabilities of existing reasoning frameworks and the collaborative skills of multi-agent systems (MASs) to overcome the limitations of LLMs, enhance their reasoning capabilities, and improve their performance in complex tasks."
"Diversity Empowers Intelligence: Integrating Expertise of Software
  Engineering Agents","https://scispace.com/paper/diversity-empowers-intelligence-integrating-expertise-of-1o7imaudjbdd","2024","Journal Article","","Kexun Zhang
Weiran Yao
Zuxin Liu
Yihao Feng
Zhi‐Wei Liu
Rithesh Murthy
Tian Lan
Lei Li
Renze Lou
Jiacheng Xu
Pang Bo
Yingbo Zhou
Shelby Heinecke
Silvio Savarese
Huan Wang
Caiming Xiong","10.48550/arxiv.2408.07060","https://scispace.compdf/diversity-empowers-intelligence-integrating-expertise-of-1o7imaudjbdd.pdf","Large language model (LLM) agents have shown great potential in solving real-world software engineering (SWE) problems. The most advanced open-source SWE agent can resolve over 27% of real GitHub issues in SWE-Bench Lite. However, these sophisticated agent frameworks exhibit varying strengths, excelling in certain tasks while underperforming in others. To fully harness the diversity of these agents, we propose DEI (Diversity Empowered Intelligence), a framework that leverages their unique expertise. DEI functions as a meta-module atop existing SWE agent frameworks, managing agent collectives for enhanced problem-solving. Experimental results show that a DEI-guided committee of agents is able to surpass the best individual agent's performance by a large margin. For instance, a group of open-source SWE agents, with a maximum individual resolve rate of 27.3% on SWE-Bench Lite, can achieve a 34.3% resolve rate with DEI, making a 25% improvement and beating most closed-source solutions. Our best-performing group excels with a 55% resolve rate, securing the highest ranking on SWE-Bench Lite. Our findings contribute to the growing body of research on collaborative AI systems and their potential to solve complex software engineering challenges. ","This study proposes DEI, a framework that leverages the unique expertise of software engineering agents to enhance problem-solving. DEI-guided committees outperform individual agents, achieving a 25% improvement and beating most closed-source solutions on SWE-Bench Lite."
"Research on the role of LLM in multi-agent systems: A survey","https://scispace.com/paper/research-on-the-role-of-llm-in-multi-agent-systems-a-survey-2xvqjswlpoga","2024","Journal Article","Applied and Computational Engineering","Jianxiang Ma","10.54254/2755-2721/71/20241674","","In recent years, the rapid development of large language model (LLM) has demonstrated superior performance in language understanding, text generation, planning, reasoning, and knowledge integration. This has led to the emergence of intelligent agents based on LLM. By leveraging the capabilities of LLM, these agents can effectively make decisions based on given objectives and possess certain learning and adaptation abilities. However, single-agent systems are generally suited to solving relatively simple problems and are limited in handling complex tasks that require coordination. For instance, in fields such as power grid management or traffic control systems, relying solely on a single agent is often insufficient for effective decision-making. In this context, adopting multi-agent systems proves to be more effective: through collaboration among multiple agents, each undertaking specific tasks, complex problems can be efficiently managed through interaction and coordination. This survey will analyze the role of LLM in multi-agent collaboration, discuss and analyze the current research challenges and key issues, and explore potential directions for future development. ","This survey examines the role of Large Language Models (LLMs) in multi-agent systems, highlighting their potential in complex problem-solving through collaboration, and discusses current research challenges and future directions for leveraging LLMs in multi-agent collaboration and decision-making."
"Two Heads Are Better Than One: A Multi-Agent System Has the Potential to
  Improve Scientific Idea Generation","https://scispace.com/paper/two-heads-are-better-than-one-a-multi-agent-system-has-the-76cjdjzy7y2p","2024","Journal Article","","Haoyang Su
Renqi Chen
Shixiang Tang
Xi Zheng
Jingzhe Li
Zhenfei Yin
Wanli Ouyang
Nanqing Dong","10.48550/arxiv.2410.09403","https://scispace.compdf/two-heads-are-better-than-one-a-multi-agent-system-has-the-76cjdjzy7y2p.pdf","The rapid advancement of scientific progress requires innovative tools that can accelerate discovery. While recent AI methods, particularly large language models (LLMs), have shown promise in tasks such as hypothesis generation and experimental design, they fall short in replicating the collaborative nature of real-world scientific practices, where diverse teams of experts work together to tackle complex problems. To address the limitation, we propose an LLM-based multi-agent system, i.e., Virtual Scientists (VirSci), designed to mimic the teamwork inherent in scientific research. VirSci organizes a team of agents to collaboratively generate, evaluate, and refine research ideas. Through comprehensive experiments, we demonstrate that this multi-agent approach outperforms the state-of-the-art method in producing novel and impactful scientific ideas, showing potential in aligning with key insights in the Science of Science field. Our findings suggest that integrating collaborative agents can lead to more innovative scientific outputs, offering a robust system for autonomous scientific discovery. ","A multi-agent system, Virtual Scientists, outperforms state-of-the-art AI methods in generating novel and impactful scientific ideas through collaborative teamwork, demonstrating potential for autonomous scientific discovery and aligning with key insights in the Science of Science field."
"Large Language Model Based Multi-agents: A Survey of Progress and Challenges","https://scispace.com/paper/large-language-model-based-multi-agents-a-survey-of-progress-598f8qtz93","2024","Journal Article","","Taicheng Guo
Yanjiao Chen
Yaqi Wang
Rui Chang
Shichao Pei
Nitesh V. Chawla
Olaf Wiest
Xiangliang Zhang","10.24963/ijcai.2024/890","https://scispace.compdf/large-language-model-based-multi-agents-a-survey-of-progress-598f8qtz93.pdf","Large Language Models (LLMs) have achieved remarkable success across a wide array of tasks. Due to their notable capabilities in planning and reasoning, LLMs have been utilized as autonomous agents for the automatic execution of various tasks. Recently, LLM-based agent systems have rapidly evolved from single-agent planning or decision-making to operating as multi-agent systems, enhancing their ability in complex problem-solving and world simulation. To offer an overview of this dynamic field, we present this survey to offer an in-depth discussion on the essential aspects and challenges of LLM-based multi-agent (LLM-MA) systems. Our objective is to provide readers with an in-depth understanding of these key points: the domains and settings where LLM-MA systems operate or simulate; the profiling and communication methods of these agents; and the means by which these agents develop their skills. For those interested in delving into this field, we also summarize the commonly used datasets or benchmarks. To keep researchers updated on the latest studies, we maintain an open-source GitHub repository (github.com/taichengguo/LLM_MultiAgents_Survey_Papers), dedicated to outlining the research of LLM-MA research. ","This survey reviews the progress and challenges of Large Language Model (LLM)-based multi-agent systems, covering their applications, profiling, communication, skill development, and datasets, aiming to provide an in-depth understanding of this rapidly evolving field."
"HyperAgent: Generalist Software Engineering Agents to Solve Coding Tasks at Scale","https://scispace.com/paper/hyperagent-generalist-software-engineering-agents-to-solve-j74jybomct3v","2024","Journal Article","arXiv.org","H. N. Phan
Phong X. Nguyen
Nghi D. Q. Bui","10.48550/arxiv.2409.16299","https://scispace.compdf/hyperagent-generalist-software-engineering-agents-to-solve-j74jybomct3v.pdf","Large Language Models (LLMs) have revolutionized software engineering (SE), demonstrating remarkable capabilities in various coding tasks. While recent efforts have produced autonomous software agents based on LLMs for end-to-end development tasks, these systems are typically designed for specific SE tasks. We introduce HyperAgent, a novel generalist multi-agent system designed to address a wide spectrum of SE tasks across different programming languages by mimicking human developers' workflows. Comprising four specialized agents - Planner, Navigator, Code Editor, and Executor. HyperAgent manages the full lifecycle of SE tasks, from initial conception to final verification. Through extensive evaluations, HyperAgent achieves state-of-the-art performance across diverse SE tasks: it attains a 25.01% success rate on SWE-Bench-Lite and 31.40% on SWE-Bench-Verified for GitHub issue resolution, surpassing existing methods. Furthermore, HyperAgent demonstrates SOTA performance in repository-level code generation (RepoExec), and in fault localization and program repair (Defects4J), often outperforming specialized systems. This work represents a significant advancement towards versatile, autonomous agents capable of handling complex, multi-step SE tasks across various domains and languages, potentially transforming AI-assisted software development practices.","HyperAgent, a generalist multi-agent system, solves a wide range of software engineering tasks across languages by mimicking human workflows, achieving state-of-the-art performance in GitHub issue resolution, code generation, and fault localization, surpassing existing methods."
"AgentsNet: Coordination and Collaborative Reasoning in Multi-Agent LLMs","https://scispace.com/paper/agentsnet-coordination-and-collaborative-reasoning-in-multi-upxy5ayxu7zw","2025","Journal Article","arXiv.org","F. Grötschla
Luis Müller
Jan Tönshoff
Mikhail Galkin
Bryan Perozzi","10.48550/arxiv.2507.08616","https://scispace.compdf/agentsnet-coordination-and-collaborative-reasoning-in-multi-upxy5ayxu7zw.pdf","Large-language models (LLMs) have demonstrated powerful problem-solving capabilities, in particular when organized in multi-agent systems. However, the advent of such systems also raises several questions on the ability of a complex network of agents to effectively self-organize and collaborate. While measuring performance on standard reasoning benchmarks indicates how well multi-agent systems can solve reasoning tasks, it is unclear whether these systems are able to leverage their topology effectively. Here, we propose AgentsNet, a new benchmark for multi-agent reasoning. By drawing inspiration from classical problems in distributed systems and graph theory, AgentsNet measures the ability of multi-agent systems to collaboratively form strategies for problem-solving, self-organization, and effective communication given a network topology. We evaluate a variety of baseline methods on AgentsNet including homogeneous networks of agents which first have to agree on basic protocols for organization and communication. We find that some frontier LLMs are already demonstrating strong performance for small networks but begin to fall off once the size of the network scales. While existing multi-agent benchmarks cover at most 2-5 agents, AgentsNet is practically unlimited in size and can scale with new generations of LLMs. As such, we also probe frontier models in a setup with up to 100 agents.","This paper proposes AgentsNet, a benchmark for multi-agent reasoning, evaluating LLMs' ability to collaborate, self-organize, and communicate effectively in large networks, revealing performance degradation as network size scales beyond a certain point."
